config,config_name,direction,chon_tren,bao_tren,tau,param,tune_cov,tune_prec,n_gold_gt,n_keep,keep_pct,prec_both,ci_lo,ci_hi,prec_label,prec_img,err_img_sai_khe,err_img_khe_chua_xd,err_chu,err_total,ha_oan,ha_dung,err_pool,n_correct
c2,"hai bộ kiểm ảnh (p_wood ∧ viss), không hình học",L,L16,TK,0.9925,p_wood≥0.89278 ∧ viss≥0.00280,0.9597,0.99263,18550,17266,93.08,0.98737,0.98528,0.98924,0.99004,0.99722,7,41,170,218,1160,124,342,18208
d,hình học + ảnh,L,L16,TK,0.9925,p_wood≥0.89278 ∧ viss≥0.00280,0.9193,0.99346,18550,16401,88.42,0.99,0.98845,0.9914,0.99006,0.99988,1,1,162,164,1971,178,342,18208
e,hình học + ảnh + dị bản (text_attested),L,L16,TK,0.9925,p_wood≥0.89278 ∧ viss≥0.00280,0.9193,0.99346,18550,11948,64.41,0.99799,0.99718,0.99874,0.99807,0.99992,0,1,23,24,6284,318,342,18208
f,chính sách v3 đầy đủ,L,L16,TK,0.9925,p_wood≥0.89278 ∧ viss≥0.00280,0.9193,0.99346,18550,11948,64.41,0.99799,0.99718,0.99874,0.99807,0.99992,0,1,23,24,6284,318,342,18208
a,pipeline hiện tại (không kiểm),L,L16,TK,0.995,,1.0,,18550,18550,100.0,0.98156,0.97871,0.98402,0.98863,0.99278,63,71,208,342,0,0,342,18208
b,chỉ hình học/trượt,L,L16,TK,0.995,G7 (không bậc nào đạt τ trên sách chọn -> bậc chính xác nhất),0.9439,0.98538,18550,17515,94.42,0.98847,0.98697,0.98986,0.9887,0.99971,1,4,197,202,895,140,342,18208
c,chỉ bộ kiểm ảnh verifier_ft (p_wood),L,L16,TK,0.995,p_wood≥0.97450,0.7948,0.9951,18550,7778,41.93,0.991,0.98862,0.99318,0.99319,0.99769,1,17,52,70,10500,272,342,18208
c2,"hai bộ kiểm ảnh (p_wood ∧ viss), không hình học",L,L16,TK,0.995,p_wood≥0.95369 ∧ viss≥0.13467,0.8758,0.99556,18550,13575,73.18,0.98932,0.98728,0.99126,0.99131,0.99786,1,28,116,145,4778,197,342,18208
d,hình học + ảnh,L,L16,TK,0.995,p_wood≥0.95369 ∧ viss≥0.13467,0.8387,0.99578,18550,12908,69.58,0.99125,0.9895,0.99282,0.99125,0.99992,1,0,112,113,5413,229,342,18208
e,hình học + ảnh + dị bản (text_attested),L,L16,TK,0.995,p_wood≥0.95369 ∧ viss≥0.13467,0.8387,0.99578,18550,9766,52.65,0.99867,0.99799,0.99929,0.99867,1.0,0,0,13,13,8455,329,342,18208
f,chính sách v3 đầy đủ,L,L16,TK,0.995,p_wood≥0.95369 ∧ viss≥0.13467,0.8387,0.99578,18550,9766,52.65,0.99867,0.99799,0.99929,0.99867,1.0,0,0,13,13,8455,329,342,18208
a,pipeline hiện tại (không kiểm),L,L16,TK,0.9975,,1.0,,18550,18550,100.0,0.98156,0.97871,0.98402,0.98863,0.99278,63,71,208,342,0,0,342,18208
b,chỉ hình học/trượt,L,L16,TK,0.9975,G7 (không bậc nào đạt τ trên sách chọn -> bậc chính xác nhất),0.9439,0.98538,18550,17515,94.42,0.98847,0.98697,0.98986,0.9887,0.99971,1,4,197,202,895,140,342,18208
c,chỉ bộ kiểm ảnh verifier_ft (p_wood),L,L16,TK,0.9975,p_wood≥0.98021,0.7085,0.9975,18550,4522,24.38,0.99226,0.98975,0.99465,0.99403,0.99801,1,8,26,35,13721,307,342,18208
c2,"hai bộ kiểm ảnh (p_wood ∧ viss), không hình học",L,L16,TK,0.9975,p_wood≥0.94235 ∧ viss≥0.55400,0.7297,0.99758,18550,12658,68.24,0.98997,0.98782,0.99189,0.99194,0.99795,1,25,101,127,5677,215,342,18208
d,hình học + ảnh,L,L16,TK,0.9975,p_wood≥0.94235 ∧ viss≥0.55400,0.6961,0.99746,18550,12046,64.94,0.99186,0.9902,0.99335,0.99186,0.99992,1,0,97,98,6260,244,342,18208
e,hình học + ảnh + dị bản (text_attested),L,L16,TK,0.9975,p_wood≥0.94235 ∧ viss≥0.55400,0.6961,0.99746,18550,9252,49.88,0.99859,0.99785,0.99925,0.99859,1.0,0,0,13,13,8969,329,342,18208
f,chính sách v3 đầy đủ,L,L16,TK,0.9975,p_wood≥0.94235 ∧ viss≥0.55400,0.6961,0.99746,18550,9252,49.88,0.99859,0.99785,0.99925,0.99859,1.0,0,0,13,13,8969,329,342,18208
a,pipeline hiện tại (không kiểm),L,L16,TK,0.999,,1.0,,18550,18550,100.0,0.98156,0.97871,0.98402,0.98863,0.99278,63,71,208,342,0,0,342,18208
b,chỉ hình học/trượt,L,L16,TK,0.999,G7 (không bậc nào đạt τ trên sách chọn -> bậc chính xác nhất),0.9439,0.98538,18550,17515,94.42,0.98847,0.98697,0.98986,0.9887,0.99971,1,4,197,202,895,140,342,18208
c,chỉ bộ kiểm ảnh verifier_ft (p_wood),L,L16,TK,0.999,p_wood≥0.98610,0.5122,0.99931,18550,1346,7.26,0.99703,0.99406,0.99928,0.99777,0.99926,0,1,3,4,16866,338,342,18208
c2,"hai bộ kiểm ảnh (p_wood ∧ viss), không hình học",L,L16,TK,0.999,p_wood≥0.98231 ∧ viss≥0.45372,0.6112,0.99942,18550,3181,17.15,0.9934,0.99037,0.99607,0.99497,0.99811,1,5,15,21,15048,321,342,18208
d,hình học + ảnh,L,L16,TK,0.999,p_wood≥0.98231 ∧ viss≥0.45372,0.5861,0.9994,18550,3031,16.34,0.99472,0.99196,0.99707,0.99472,0.99967,1,0,15,16,15193,326,342,18208
e,hình học + ảnh + dị bản (text_attested),L,L16,TK,0.999,p_wood≥0.98231 ∧ viss≥0.45372,0.5861,0.9994,18550,2405,12.96,0.99834,0.99637,0.9996,0.99834,1.0,0,0,4,4,15807,338,342,18208
f,chính sách v3 đầy đủ,L,L16,TK,0.999,p_wood≥0.98231 ∧ viss≥0.45372,0.5861,0.9994,18550,2405,12.96,0.99834,0.99637,0.9996,0.99834,1.0,0,0,4,4,15807,338,342,18208
