set,type,truth,dir,dir_name,gold,keep,keep_pct,demote,classes_before,classes_lost,cells_in_lost_classes,n_fix_kept,n_eval,both_pt,both_lo,both_hi,lab_pt,lab_lo,lab_hi,img_pt,img_lo,img_hi,err_lab_cells,err_img_cells,err_both_cells,acc_pess,img_method,img_err_pt,img_err_lo,img_err_hi,img_err_stt_model_only,lab_hi_cands,lab_err_hi_no_nod,lab_method,lab_pess_driver,lab_classes,lab_tk_src,nod_c,nod_bound,lab_err_pt,lab_err_lo,lab_err_hi,lab_err_hi_T,acc_pess_no_nod,err_both_cells_hi,lab_rate_transfer,lab_extra_stt,lab_err_pt_H7,lab_err_hi_H7,img_err_hi_uniform,acc_pess_stt_uniform,acc_pt_H7,acc_pess_H7,acc_pess_H7_uniform,meets
stt4,chép tay (lt1),SUY ĐOÁN,H4,H1+H2+H3,17440,965,5.53,16475,925,832,9024,0,,0.982525020322632,0.9645158384171852,0.9921727299556525,0.9892708682124285,0.9749729606731344,0.9952779694995955,0.9932541521102035,0.9895428777440508,0.9968947604560571,,,16.9,0.9645158384171852,Σp(bản bỏ bộ kiểm) × tỉ lệ nhận trượt viết tay Borg; bi quan = không tính bộ kiểm,6.5097432136535645,2.9965561599049098,10.09112297699095,0.7112494707107544,,,tỉ lệ lỗi nhãn IHR cùng hướng (bi quan = max L16/TK/L83/KVK) + cầu tự dạng/rescue vòng 2 + bể Hán hoá lt1,,,,,,10.353612175006518,4.556759432890381,24.151092950425237,,,34.2,"[0.00231, 0.00712, 0.0207]","[2.3, 3.5, 4.3]",6.867355166296752,19.97317848691644,87.0183229931508,0.8847985327009574,0.9861377218860619,0.9688452834570908,0.8891279777408629,khong
stt4,chép tay (lt1),SUY ĐOÁN,H5,H1 + vòng sửa hộp,17440,11663,66.88,5777,925,100,122,0,,0.9466476421853574,0.9305744382200661,0.9635799642726934,0.951582685587042,0.9373315824987971,0.966439311132964,0.9950649565983154,0.993242855721269,0.9971406531397294,,,622.2,0.9305744382200661,Σp trượt vòng 2 (STT: bể 1.630–2.500),57.557411193847656,33.34856243133545,78.80857372283934,18.52649688720703,,,tỉ lệ lỗi nhãn IHR cùng hướng (bi quan = max L16/TK/L83/KVK) + cầu tự dạng/rescue vòng 2 + bể Hán hoá lt1,,,,,,564.691137998329,391.4183142562407,730.9017533165293,,,809.7,"[0.01014, 0.01428, 0.02182]","[276.0, 403.9, 487.0]",166.58840416668957,254.51887084546104,553.1997647371317,0.8898995525976454,0.9807814614284028,0.9714200939236646,0.9307452083012439,khong
stt4,chép tay (lt1),SUY ĐOÁN,H6,H4 + vòng sửa hộp,17440,965,5.53,16475,925,832,9024,0,,0.9823904478628049,0.9645158384171852,0.9919709175899738,0.9891362957526014,0.9749729606731344,0.9950761571339167,0.9932541521102035,0.9895428777440508,0.9968947604560571,,,17.0,0.9645158384171852,Σp(bản bỏ bộ kiểm) × tỉ lệ nhận trượt viết tay Borg; bi quan = không tính bộ kiểm,6.5097432136535645,2.9965561599049098,10.09112297699095,0.7112494707107544,,,tỉ lệ lỗi nhãn IHR cùng hướng (bi quan = max L16/TK/L83/KVK) + cầu tự dạng/rescue vòng 2 + bể Hán hoá lt1,,,,,,10.483474598739623,4.751508365770386,24.151092950425237,,,34.2,"[0.00251, 0.00725, 0.0207]","[2.3, 3.5, 4.3]",6.997691832420213,19.97317848691644,87.0183229931508,0.8847985327009574,0.9860026579833432,0.9688452834570908,0.8891279777408629,khong
stt4,chép tay (lt1),SUY ĐOÁN,Rv3,"tham chiếu: H4 + luật A + M-OCR (luật ô v3, bỏ cổng bộ)",17440,936,5.37,16504,925,834,9050,0,,0.985815049984492,0.9686748720314476,0.9941996355408922,0.9918786269314026,0.9780597109174494,0.9970205054816973,0.9939364230530894,0.9906151611139983,0.9971791300591949,,,13.3,0.9686748720314476,Σp(bản bỏ bộ kiểm) × tỉ lệ nhận trượt viết tay Borg; bi quan = không tính bộ kiểm,5.67550802230835,2.6403342645935832,8.784209197297578,0.6895204782485962,,,tỉ lệ lỗi nhãn IHR cùng hướng (bi quan = max L16/TK/L83/KVK) + cầu tự dạng/rescue vòng 2 + bể Hán hoá lt1,,,,,,7.601605192207158,2.7888068691313004,20.536110581267444,,,29.3,"[0.00231, 0.00712, 0.0207]","[0.6, 0.9, 1.2]",6.660978689796643,19.372948252594597,76.04310622877416,0.8968170760576478,0.9868199928289476,0.9699175668270382,0.8980597708532385,khong
stt11,chép tay (lt1),SUY ĐOÁN,H0,giữ nguyên GOLD,17589,17589,100.0,0,876,0,0,0,,0.9199766845343732,0.8978397889015513,0.9398159107733973,0.9623451461905397,0.9492123326364384,0.9741451940915068,0.9576315383438335,0.9486274562651129,0.9656707166818905,,,1407.5,0.8978397889015513,Σp trượt vòng 2 (STT: bể 1.630–2.500),745.2188720703125,603.8177642822266,903.5916717529296,244.2074432373047,,,tỉ lệ lỗi nhãn IHR cùng hướng (bi quan = max L16/TK/L83/KVK) + cầu tự dạng/rescue vòng 2 + bể Hán hoá lt1,,,,,,662.3112236545973,454.76018112448793,893.3042812576848,,,1796.9,"[0.01001, 0.01432, 0.0227]","[281.5, 416.4, 505.5]",251.86011099258067,399.287007988228,834.2819739313563,0.9017803027352868,0.9433123552752918,0.9259265063539054,0.9298670201876409,khong
stt11,chép tay (lt1),SUY ĐOÁN,H1,cổng hình học,17589,10877,61.84,6712,876,95,120,0,,0.9582021296085429,0.9443851695988109,0.9715911514485638,0.9620669292770979,0.9497113839457672,0.9738275593807693,0.996135200331445,0.9946737856530438,0.9977635920677946,,,454.6,0.9443851695988109,Σp trượt vòng 2 (STT: bể 1.630–2.500),42.03742599487305,24.32540907859802,57.93323345184326,13.0269193649292,,,tỉ lệ lỗi nhãn IHR cùng hướng (bi quan = max L16/TK/L83/KVK) + cầu tự dạng/rescue vòng 2 + bể Hán hoá lt1,,,,,,412.59801025300595,284.67763661537316,546.9892768218905,,,604.9,"[0.01014, 0.01427, 0.02182]","[176.2, 261.1, 316.5]",155.22073491464675,237.36618007254393,515.9181892348265,0.9022793540446155,0.9818646537731434,0.9728510238554393,0.9307452083012439,khong
stt11,chép tay (lt1),SUY ĐOÁN,H2,"H1 + bộ kiểm ảnh τ=0,995",17589,1644,9.35,15945,876,754,7171,0,,0.9828699024074113,0.9661999492192652,0.9916037102486208,0.9857618930875954,0.9706643278530104,0.9929542690191645,0.9971080093198159,0.9955356213662548,0.9986494412294563,,,28.2,0.9661999492192652,Σp(bản bỏ bộ kiểm) × tỉ lệ nhận trượt viết tay Borg; bi quan = không tính bộ kiểm,4.754432678222656,2.220318618773855,7.339438473877114,1.127663493156433,,,tỉ lệ lỗi nhãn IHR cùng hướng (bi quan = max L16/TK/L83/KVK) + cầu tự dạng/rescue vòng 2 + bể Hán hoá lt1,,,,,,23.40744776399306,11.583181732493518,48.227845009650856,,,55.6,"[0.00231, 0.00712, 0.0207]","[7.8, 11.8, 14.5]",11.699411288488974,34.026845007762304,81.1539311666382,0.9213006227638144,0.9899915790956741,0.9748380270792948,0.929938700623844,khong
stt11,chép tay (lt1),SUY ĐOÁN,H3,H1 + dị bản người,17589,10877,61.84,6712,876,95,120,0,,0.9582021296085429,0.9443851695988109,0.9715911514485638,0.9620669292770979,0.9497113839457672,0.9738275593807693,0.996135200331445,0.9946737856530438,0.9977635920677946,,,454.6,0.9443851695988109,Σp trượt vòng 2 (STT: bể 1.630–2.500),42.03742599487305,24.32540907859802,57.93323345184326,13.0269193649292,,,tỉ lệ lỗi nhãn IHR cùng hướng (bi quan = max L16/TK/L83/KVK) + cầu tự dạng/rescue vòng 2 + bể Hán hoá lt1,,,,,,412.59801025300595,284.67763661537316,546.9892768218905,,,604.9,"[0.01014, 0.01427, 0.02182]","[176.2, 261.1, 316.5]",155.22073491464675,237.36618007254393,515.9181892348265,0.9022793540446155,0.9818646537731434,0.9728510238554393,0.9307452083012439,khong
stt11,chép tay (lt1),SUY ĐOÁN,H4,H1+H2+H3,17589,1644,9.35,15945,876,754,7171,0,,0.9828699024074113,0.9661999492192652,0.9916037102486208,0.9857618930875954,0.9706643278530104,0.9929542690191645,0.9971080093198159,0.9955356213662548,0.9986494412294563,,,28.2,0.9661999492192652,Σp(bản bỏ bộ kiểm) × tỉ lệ nhận trượt viết tay Borg; bi quan = không tính bộ kiểm,4.754432678222656,2.220318618773855,7.339438473877114,1.127663493156433,,,tỉ lệ lỗi nhãn IHR cùng hướng (bi quan = max L16/TK/L83/KVK) + cầu tự dạng/rescue vòng 2 + bể Hán hoá lt1,,,,,,23.40744776399306,11.583181732493518,48.227845009650856,,,55.6,"[0.00231, 0.00712, 0.0207]","[7.8, 11.8, 14.5]",11.699411288488974,34.026845007762304,81.1539311666382,0.9213006227638144,0.9899915790956741,0.9748380270792948,0.929938700623844,khong
stt11,chép tay (lt1),SUY ĐOÁN,H5,H1 + vòng sửa hộp,17589,10878,61.85,6711,876,95,120,1,,0.9581886793183917,0.9443841468694708,0.971592395059791,0.9620564667337167,0.9497140007737003,0.9738290333563029,0.9961322125846749,0.9946701460957705,0.997763361703488,,,454.8,0.9443841468694708,Σp trượt vòng 2 (STT: bể 1.630–2.500),42.07379150390625,24.33015138945692,57.97815077020865,13.0269193649292,,,tỉ lệ lỗi nhãn IHR cùng hướng (bi quan = max L16/TK/L83/KVK) + cầu tự dạng/rescue vòng 2 + bể Hán hoá lt1,,,,,,412.7497548706292,284.68777515013676,547.0110995836881,,,605.0,"[0.01014, 0.01428, 0.02182]","[176.2, 261.1, 316.5]",155.37586045830827,237.3880028343415,515.9181892348265,0.9022863312356578,0.9818487174147624,0.972847384298166,0.930749568664353,khong
stt11,chép tay (lt1),SUY ĐOÁN,H6,H4 + vòng sửa hộp,17589,1645,9.35,15944,876,754,7171,1,,0.9827197884942906,0.9661690410434582,0.9913853564142794,0.985632126658368,0.9706695789641715,0.9927558055665231,0.9970876618359227,0.9954994620792867,0.9986295508477563,,,28.4,0.9661690410434582,Σp(bản bỏ bộ kiểm) × tỉ lệ nhận trượt viết tay Borg; bi quan = không tính bộ kiểm,4.790796279907227,2.25438885544089,7.403384879573367,1.127663493156433,,,tỉ lệ lỗi nhãn IHR cùng hướng (bi quan = max L16/TK/L83/KVK) + cầu tự dạng/rescue vòng 2 + bể Hán hoá lt1,,,,,,23.635151646984735,11.91669984306947,48.248542603937814,,,55.7,"[0.00251, 0.00725, 0.0207]","[7.8, 11.8, 14.5]",11.928707838685234,34.04754260204926,81.1539311666382,0.9213358822063368,0.9898361677090624,0.9748018677923267,0.9299687089552052,khong
stt11,chép tay (lt1),SUY ĐOÁN,Rv3,"tham chiếu: H4 + luật A + M-OCR (luật ô v3, bỏ cổng bộ)",17589,1580,8.98,16009,876,762,7426,0,,0.9890408201495638,0.9737190679521665,0.9956415693534563,0.9916929033171108,0.9778300483349731,0.9968969413594715,0.997347916832453,0.9958890196171933,0.9987446279939848,,,17.3,0.9737190679521665,Σp(bản bỏ bộ kiểm) × tỉ lệ nhận trượt viết tay Borg; bi quan = không tính bộ kiểm,4.190291404724121,1.9834877695040176,6.495349004834474,1.0843628644943237,,,tỉ lệ lỗi nhãn IHR cùng hướng (bi quan = max L16/TK/L83/KVK) + cầu tự dạng/rescue vòng 2 + bể Hán hoá lt1,,,,,,13.125212758964935,4.902832652034997,35.028523630742555,,,41.5,"[0.00231, 0.00712, 0.0207]","[1.3, 1.9, 2.4]",11.243959754143905,32.70219897339686,72.60355835088318,0.9318784291255533,0.9902314866083114,0.9751914253302333,0.9333507865036202,khong
Chr,in văn xuôi,SUY ĐOÁN,H0,giữ nguyên GOLD,4238,4238,100.0,0,705,0,0,0,,0.919865605576419,0.8796293845600086,0.9695347628586924,0.9856808169314583,0.9772990500887926,0.9899867886065992,0.9341847886449608,0.902330334471216,0.9795479742520933,,,339.6,0.8796293845600086,Σp trượt vòng 2,278.92486572265625,86.67568511962891,413.92404251098634,,,,tỉ lệ lỗi nhãn IHR cùng hướng (bi quan = max L16/TK/L83/KVK),,,,,,60.6846978444799,42.435989885232736,96.20662572369723,,,510.1,"[0.01001, 0.01432, 0.0227]",,,,,,,,,khong
Chr,in văn xuôi,SUY ĐOÁN,H1,cổng hình học,4238,1788,42.19,2450,705,226,339,0,,0.9830177839977273,0.9727325085808838,0.9893414165742318,0.9857294534416984,0.9781772382023955,0.9898614652364185,0.997288330556029,0.9945552703784883,0.9994799513378133,,,30.4,0.9727325085808838,Σp trượt vòng 2,4.8484649658203125,0.9298470079898834,9.735176563262936,,,,tỉ lệ lỗi nhãn IHR cùng hướng (bi quan = max L16/TK/L83/KVK),,,,,,25.5157372462433,18.127700157283737,39.019098094116806,,,48.8,"[0.01014, 0.01427, 0.02182]",,,,,,,,,khong
Chr,in văn xuôi,SUY ĐOÁN,H2,"H1 + bộ kiểm ảnh τ=0,995",4238,190,4.48,4048,705,630,2808,0,,0.9902884949089109,0.9731985227783834,0.9972772215550123,0.9928835697758583,0.97930240571304,0.9976891058690835,0.9974049251330527,0.9938961170653434,0.9995881156859288,,,1.8,0.9731985227783834,Σp(bản bỏ bộ kiểm) × tỉ lệ nhận trượt IHR; bi quan = không tính bộ kiểm,0.4930642247200012,0.07825801967353281,1.1597377575847587,,,,tỉ lệ lỗi nhãn IHR cùng hướng (bi quan = max L16/TK/L83/KVK),,,,,,1.3521217425869252,0.4390698848741259,3.9325429145224073,,,5.1,"[0.00231, 0.00712, 0.0207]",,,,,,,,,khong
Chr,in văn xuôi,SUY ĐOÁN,H3,H1 + dị bản người,4238,1788,42.19,2450,705,226,339,0,,0.9830177839977273,0.9727325085808838,0.9893414165742318,0.9857294534416984,0.9781772382023955,0.9898614652364185,0.997288330556029,0.9945552703784883,0.9994799513378133,,,30.4,0.9727325085808838,Σp trượt vòng 2,4.8484649658203125,0.9298470079898834,9.735176563262936,,,,tỉ lệ lỗi nhãn IHR cùng hướng (bi quan = max L16/TK/L83/KVK),,,,,,25.5157372462433,18.127700157283737,39.019098094116806,,,48.8,"[0.01014, 0.01427, 0.02182]",,,,,,,,,khong
Chr,in văn xuôi,SUY ĐOÁN,H4,H1+H2+H3,4238,190,4.48,4048,705,630,2808,0,,0.9902884949089109,0.9731985227783834,0.9972772215550123,0.9928835697758583,0.97930240571304,0.9976891058690835,0.9974049251330527,0.9938961170653434,0.9995881156859288,,,1.8,0.9731985227783834,Σp(bản bỏ bộ kiểm) × tỉ lệ nhận trượt IHR; bi quan = không tính bộ kiểm,0.4930642247200012,0.07825801967353281,1.1597377575847587,,,,tỉ lệ lỗi nhãn IHR cùng hướng (bi quan = max L16/TK/L83/KVK),,,,,,1.3521217425869252,0.4390698848741259,3.9325429145224073,,,5.1,"[0.00231, 0.00712, 0.0207]",,,,,,,,,khong
Chr,in văn xuôi,SUY ĐOÁN,H5,H1 + vòng sửa hộp,4238,1792,42.28,2446,705,226,339,4,,0.9829297194659365,0.9725721210337132,0.989218470954703,0.9857165048300875,0.9781772382023955,0.9898614652364185,0.997213214635849,0.9943948828313176,0.9993570057182846,,,30.6,0.9725721210337132,Σp trượt vòng 2,4.993919372558594,1.1522457528340337,10.044369966278811,,,,tỉ lệ lỗi nhãn IHR cùng hướng (bi quan = max L16/TK/L83/KVK),,,,,,25.596023344483214,18.168254296338063,39.106389141307226,,,49.2,"[0.01014, 0.01428, 0.02182]",,,,,,,,,khong
Chr,in văn xuôi,SUY ĐOÁN,H6,H4 + vòng sửa hộp,4238,194,4.58,4044,705,629,2712,4,,0.9894571721068119,0.9725763634393602,0.9965538714039366,0.9927485058731397,0.97930240571304,0.9974868045976422,0.9967086662336723,0.9932739577263202,0.9990670668062944,,,2.0,0.9725763634393602,Σp(bản bỏ bộ kiểm) × tỉ lệ nhận trượt IHR; bi quan = không tính bộ kiểm,0.638518750667572,0.18098903957887258,1.3048522010938866,,,,tỉ lệ lỗi nhãn IHR cùng hướng (bi quan = max L16/TK/L83/KVK),,,,,,1.406789860610903,0.48755990805742044,4.015333291670247,,,5.3,"[0.00251, 0.00725, 0.0207]",,,,,,,,,khong
Chr,in văn xuôi,SUY ĐOÁN,Rv3,"tham chiếu: H4 + luật A + M-OCR (luật ô v3, bỏ cổng bộ)",4238,190,4.48,4048,705,630,2808,0,,0.9902884949089109,0.9731985227783834,0.9972772215550123,0.9928835697758583,0.97930240571304,0.9976891058690835,0.9974049251330527,0.9938961170653434,0.9995881156859288,,,1.8,0.9731985227783834,Σp(bản bỏ bộ kiểm) × tỉ lệ nhận trượt IHR; bi quan = không tính bộ kiểm,0.4930642247200012,0.07825801967353281,1.1597377575847587,,,,tỉ lệ lỗi nhãn IHR cùng hướng (bi quan = max L16/TK/L83/KVK),,,,,,1.3521217425869252,0.4390698848741259,3.9325429145224073,,,5.1,"[0.00231, 0.00712, 0.0207]",,,,,,,,,khong
L83,thạch bản,ƯỚC LƯỢNG,H0,giữ nguyên GOLD,10910,10910,100.0,0,1610,0,0,0,,0.9795111807025054,0.7232561055781306,0.9862682636669873,0.9823982671949163,0.728254483239132,0.9873339269247121,0.9971129135075891,0.9950016223389987,0.9989343367422753,,,223.5,0.7232561055781306,Σp trượt vòng 2,31.49811363220215,11.626386141777038,54.53230028152465,,"{""T_ci_tren"": 247.7, ""can_khong_can_d"": 2964.7, ""M_OCR_v2_ci_tren"": 366.0}",365.9553527832031,"lớp dị bản × tỉ lệ lỗi TK cùng hướng; bi quan = max(CI trên, cận không-d, M-OCR)",can_khong_can_d,"{""attested"": 3212, ""contradicted"": 694, ""unattestable"": 7004, ""na"": 0}","{""attested"": ""H0"", ""contradicted"": ""H0"", ""unattestable"": ""H0""}",0.17768,2964.7,192.03490490346306,138.18685725139116,2964.74358786107,247.6673635312734,0.9614585102598783,3019.3,,,,,,,,,,khong
