char,kDefinition
襞,"fold, pleat, crease"
襍,"mixed, blended; mix, mingle"
襄,"aid, help, assist; undress"
褘,ceremonial gowns of a queen
見,"see, observe, behold; perceive; Kangxi radical 147"
覆,cover; tip over; return; reply
裁,cut out; decrease
裀,"mat, coverlet; underwear"
袴,pants; trousers; panties
遏,"stop, suppress, curb, check; a bar"
袪,sleeves; cuff
袖,sleeve; put something in sleeve
裙,"skirt, apron, petticoat"
裾,"lapel, border of garment; skirt"
裹,"wrap, bind; encircle, confine"
裴,surname; look of a flowing gown
補,"mend, patch, fix, repair, restore"
覔,to search for; to look after
蕕,Caryopteris divaricata
薏,seed of Job's tears; lotus seed
邇,"be near, be close; recently"
邑,area; district; city; state; Kangxi radical 163
薅,to weed; to eradicate
蕪,luxurious growth of weeds
邙,mountain in Henan province
蔵,"hide, conceal; hoard, store up"
蔚,"luxuriant, thick; ornamental"
蓬,type of raspberry; fairyland
薔,rose
薩,"transliteration of 'sat' in 'bodhisattva,' etc."
蘇,"revive, resurrect; a species of thyme; transliteration of 'Soviet'"
邁,take a big stride; pass by
藿,"Agastache rugosa, Korean mint"
藩,fence; boundary; outlying border
薯,"yam, tuber, potato"
蓍,"milfoil, plant used in divination"
蠡,wood-boring insect; bore into wood
邱,surname; hill; mound; grave
葆,"reserve, preserve; conceal"
邲,ancient name of a place in Henan
蓊,luxuriant vegetation; lush
邵,surname; various place names
萬,ten thousand; innumerable
萊,"goosefoot, weed; fallow field"
萄,grapes
郁,"sweet smelling, rich in aroma; (Cant.) to move, hit"
蓄,"store, save, hoard, gather"
蒦,to measure; to calculate
蒞,"reach, arrive; manage"
葺,"thatch; fix, repair; pile up"
葡,grapes
葛,edible bean; surname
蜜,honey; sweet; nectar
蜉,mayfly
遲,"late, tardy; slow; delay"
蜯,"oysters, mussels; mother-of-pearl"
蜱,"a tick, mite"
蟲,worms; insects
蟬,cicada; continuous
蟄,to hibernate
炫,"shine, glitter; show off, flaunt"
蝌,tadpole
遵,"obey, comply with, follow; honor"
虚,false
避,avoid; turn aside; escape; hide
處,"place, locale; department"
蛾,moth
蛻,"molt, exuviate, shed"
蛮,"barbarians; barbarous, savage"
蛇,snake
號,"mark, sign; symbol; number"
遺,lose; articles lost; omit
遼,"distant, far"
視,"look at, inspect, observe, see"
越,"exceed, go beyond; the more ..."
追,"pursue, chase after; expel"
超,"jump over, leap over; surpass"
起,"rise, stand up; go up; begin"
赵,surname; ancient state
赱,"walk, go on foot; run; leave"
走,"walk, go on foot; run; leave; Kangxi radical 156"
述,"narrate, state, express"
蹌,walk rapidly
蹄,hoof; horse
迴,"revolve, rotate; curving, zigzag"
路,"road, path, street; journey"
跌,"stumble, slip, fall down; stamp"
足,"foot; attain, satisfy, enough; Kangxi radical 156"
迷,"bewitch, charm, infatuate"
迹,"traces, impressions, footprints"
赫,"bright, radiant, glowing"
逍,"ramble, stroll, jaunt, loiter"
貶,"decrease, lower; censure, criticize"
貴,"expensive, costly, valuable"
貲,property; wealth; to count
責,"one's responsibility, duty"
透,"penetrate, pass through"
逐,"chase, expel; one by one"
買,"buy, purchase; bribe, persuade"
适,"go, reach; appropriate, suitable"
贖,"buy, redeem; ransom; atone for"
贈,"give present; bestow, confer"
賺,"make money, earn; gain, profit"
賭,"bet, gamble, wager; compete"
質,"matter, material, substance"
賞,"reward, grant, bestow; appreciate"
賔,"guest, visitor; surname; submit"
賓,"guest, visitor; surname; submit"
賊,"thief, traitor"
逃,"escape, flee; abscond, dodge"
賁,forge ahead; energetic; surname; hexagram ䷕
辯,"dispute, argue, debate, discuss"
辨,"distinguish, discriminate"
辤,"words, speech; a sentence, an expression or phrase; a message"
迍,"falter, hesitate"
迈,take a big stride; pass by
过,"pass, pass through, go across"
迆,wind; walk out of straight path
迄,"extend, reach; until; till"
迁,"move, shift, change; transfer; relocate a capital city"
边,"edge, margin, side, border"
農,"agriculture, farming; farmer"
迓,"to go to meet, to receive, as a guest"
𤣥,dark; mystic
輒,then; each; rack on chariot for luggage or weapons
較,"compare; comparatively, more"
迪,"enlighten, advance; progress"
軏,cross-bar at the end of the poles of a cart
軍,"army, military; soldiers, troops"
軀,body
𤍠,hot (in temperature)
輔,cheek bone; protective; assist
輙,then; each; rack on chariot for luggage or weapons
辜,"crime, criminal offense"
迢,far; distant
轡,"bridle of horse, reins"
轟,"rumble, explosion, blast"
迤,wind; walk out of straight path
迥,"distant, far; separated; different"
迦,character for transliteration
迩,"be near, be close; recently"
逺,"distant, remote, far; profound"
詔,"decree, proclaim; imperial decree"
訶,"scold loudly, curse, abuse"
逹,"arrive at, reach; intelligent"
詠,"sing, hum, chant"
誓,"swear, pledge; oath"
誑,"deceive, lie, delude, cheat"
認,"recognize, know, understand"
誉,"fame, reputation; praise"
誇,"exaggerate; brag, boast; flaunt"
誄,"eulogize, praise the dead"
詹,"surname; talk too much, verbose"
詵,"inquire, question; numerous"
週,"week; turn, cycle; anniversary"
逑,"collect, unite; match, pair"
觉,to wake up from sleep; conscious
觔,catty
角,"horn; angle, corner; point; Kangxi radical 148; 1st lunar mansion, determinative star Spica"
见,"see, observe, behold; perceive"
親,"relatives, parents; intimate"
覩,"see, gaze at, witness"
覧,"look at, inspect; perceive"
觧,"loosen, unfasten, untie; explain"
觱,tartar horn; chilly wind
遄,to hurry; to go to and fro
誕,"to bear children, give birth; birth"
誘,"persuade, entice, induce; guide"
速,"quick, prompt, speedy"
豊,"abundant, lush, bountiful, plenty"
豉,fermented beans
豈,how? what?
谨,"prudent, cautious; attentive"
造,"construct, build, make, begin; prepare"
誣,make false accusation; defame
调,"transfer, move, change; tune"
说,"speak, say, talk; scold, upbraid"
详,"detailed, complete, thorough"
话,"speech, talk, language; dialect"
豫,"relaxed, comfortable, at ease; hexagram ䷏"
負,"load, burden; carry, bear"
貝,"sea shell; money, currency; Kangxi radical 154"
貍,fox
豹,"leopard, panther; surname"
豳,a Zhou-dynasty state
豬,"pig, hog"
诗,"poetry; poem, verse, ode"
证,"prove, confirm, verify; proof"
謝,thank; decline
謄,"copy, transcribe"
謁,"visit, pay respects to"
諼,"forget; lie, cheat, deceive"
諌,"remonstrate, admonish"
誰,who? whom? whose? anyone?
説,speak
說,"speak, say, talk; scold, upbraid"
謙,"humble, modest; hexagram ䷎"
謳,to sing; songs
識,"recognize, understand, know"
讼,"accuse; argue, dispute; litigate"
议,"consult, talk over, discuss"
计,"plan, plot; stratagem; scheme"
議,"consult, talk over, discuss"
譬,"metaphor, simile, example"
譜,"register, list, table; musical score"
羯,"wether, castrated ram; deer skin"
門,"gate, door, entrance, opening; Kangxi radical 169"
長,long; length; excel in; leader; Kangxi radical 168
翻,"flip over, upset, capsize"
翰,"writing brush, pen, pencil"
翠,color green; kingfisher
翕,agree
翔,"soar, glide, hover; detailed"
習,practice; flapping wings
翎,feather; plume; wing
翊,"flying; assist, help; respect"
閱,"examine, inspect, review, read"
羊,"sheep, goat; Kangxi radical 123"
閟,"hide, keep secret; hideaway"
閏,"intercalary; extra, surplus"
羣,"group, crowd, multitude, mob"
羞,"disgrace, shame; ashamed; shy"
間,"interval, space; place, between"
閔,"mourn, grieve; urge on, incite"
耀,"shine, sparkle, dazzle; glory"
錮,run metal into cracks; confine
耨,"hoe, rake; weed"
耘,weed
耗,"consume, use up; waste, squander"
耕,"plow, cultivate"
耒,handle of plow; plow; Kangxi radical 127
耐,"endure, bear; resist; patient"
錯,"error, blunder, mistake, wrong"
録,copy
錢,"money, currency, coins"
聖,"holy, sacred; sage"
錬,smelt metals
聃,ears without rims; a personal name
耿,"bright, shining; have guts"
耶,used in transliteration
鑠,"melt, smelt; shine"
鑪,"fireplace, stove, oven, furnace"
考,"examine, test; investigate"
老,"old, aged; experienced; Kangxi radical 125"
耆,"man of sixty; aged, old"
耇,wrinkled face of the elderly
鍮,brass
鏘,"tinkle, clang, jingle"
耋,aged; in one's eighties
耉,old age
鏡,mirror; lens; glass; glasses
鐔,dagger; small sword
聚,"assemble, meet together, collect"
經,classic works; pass through
附,"adhere to, append; rely on near to"
統,"govern, command, control; unite"
絕,"cut, sever, break off, terminate"
陈,"exhibit, display; plead; a surname"
終,"end; finally, in the end"
紹,"continue, carry on; hand down; to join"
累,"tired; implicate, involve; bother"
紛,"in disorder, scattered, tangled"
紙,paper
網,"net, web; network"
縁,hem
阿,prefix for people's names; used in transliteration
緩,"slow, leisurely; to postpone, delay"
緦,coarse cotton cloth used for mourning
緣,"hem, margin; reason, cause; karma, fate"
陁,"a steep bank, a declivity"
緞,satin
緑,green; chlorine
綿,"cotton wad; wool; soft, downy"
糗,parched wheat or rice; broken grain
陛,steps leading throne; throne
陞,"promote, rise, ascend"
精,essence; semen; spirit
粳,non-glutinous rice
粲,"polish; bright, radiant; smiling"
粮,"food, grain, provisions"
粧,toilet; make-up; dress up; adorn
糙,"coarse, harsh, rough, unpolished rice"
陌,foot path between rice fields
降,"descend, fall, drop; lower, down"
紊,"confused, disorder"
紅,"red, vermillion; blush, flush"
約,"treaty, agreement, covenant"
系,"system; line, link, connection"
糠,"chaff, bran, husks; poor"
糞,"manure, dung, night soil"
糜,"rice gruel, congee; mashed rice"
縛,to tie
縣,"county, district, subdivision"
问,"ask about, inquire after"
闢,"open; settle, develop, open up"
罫,hinder
罰,"penalty, fine; punish, penalize"
閻,village gate; surname
閼,"block, obstruct, stop up, conceal"
闔,"close; whole, entire; all; leaf"
闕,watch tower; palace
闘,"struggle, fight, compete, contend"
闷,"gloomy, depressed, melancholy"
细,"fine, tiny; slender, thin"
纳,"admit, take, receive, accept"
红,"red, vermillion; blush, flush"
纠,"investigate, inspect"
纓,"a chin strap, tassel; to annoy, bother"
續,"continue, carry on; succeed"
阳,'male' principle; light; sun
纊,cotton; silk
纂,"edit, compile; topknot, chignon"
阻,"impede, hinder, obstruct; oppose"
繭,"cocoon; callus, blister"
繒,silk fabrics; surname
繈,string of copper coins; swaddling clothes
繁,"complicated, complex, difficult"
纷,"in disorder, scattered, tangled"
终,"end; finally, in the end"
阙,watch tower; palace
阤,hill
阨,in distress; adverse; strategic; (Cant.) to swindle
缓,"slow, leisurely; to postpone, delay"
绣,embroider; embroidery; ornament
绢,kind of thick stiff silk
聡,"intelligent, clever, bright"
菽,"beans and peas, collectively"
酢,toast one's host with wine; to express juice by pressing
酣,enjoy intoxicants
芡,plant allied to the waterlily
芝,sesame; a purplish or brown mushroom thought to have miraculous powers; 'a divine and felicitous plant' (Karlgren)
酪,"cream, cheese; koumiss"
芍,peony; water chestnuts
芋,taro
酥,"butter; flaky, crispy, light, fluffy"
酩,drunk; intoxicated; tipsy
艾,"artemisia, mugwort"
酗,"drunk, to become violent under the influence of alcohol"
芬,"fragrance, aroma; perfume"
酎,"double-fermented wine, vintage wine"
酔,"intoxicated, drunk; addicted to"
酖,wine with bird poison added
舌,tongue; clapper of bell; Kangxi radical 135
醫,"medicine; to cure, heal; physician"
舩,"boat, ship, vessel"
醞,"liquor, spirits, wine; ferment"
舛,"oppose, deviate, be contrary to; Kangxi radical 136"
舒,"open up, unfold, stretch out; comfortable, easy"
醯,vinegar; pickle; acid
航,"sail; navigate; ship, boat"
醖,liquor
酬,"toast; reward, recompense"
醇,"rich, good as wine; pure, unmixed"
艮,Kangxi radical 138; trigram ☶; hexagram ䷳
艨,long and narrow war-boat
醐,purest cream
醒,wake up; sober up; startle
舷,"the sides of a boat, bulwarks; a gunwale"
芳,fragrant; virtuous; beautiful
芼,to choose; to select; greens
莞,"smiling; a kind of aquatic herb, clubrush, Scirpus lacustris"
苐,"sequence, number; grade, degree"
部,"part, division, section"
荣,"glory, honor; flourish, prosper"
荆,thorns; brambles; my wife; cane
莽,"thicket, underbrush; poisonous"
菴,small Buddhist monastery
郅,to go up to; flourishing; a superlative
郊,"suburbs; waste land, open spaces"
菩,"herb, aromatic plant"
菑,to weed grass; land which has been under cultivation for one year
菊,chrysanthemum
荀,surname; ancient state; plant
苦,"bitter; hardship, suffering"
鄞,county in Zhejiang province
若,"if, supposing, assuming; similar"
鄭,state in today's Henan; surname
鄰,neighbor; neighborhood
苛,"small, petty; harsh, rigorous"
苓,"fungus, tuber; licorice"
茹,roots; vegetables; eat; bear
茸,"soft, downy; buds, sprouts"
茶,tea
茵,"a cushion, mattress; wormwood; Skimmia japon"
茫,"vast, boundless, widespread"
茢,sedges; rushes
郵,"postal, mail; post office"
茍,"to be circumspect, cautious in one's behaviour (distinguish DKW 30790 gou3)"
英,"petal, flower, leaf; brave, a hero; England, English"
舊,"old, ancient; former, past"
錡,a kind of pen; a kind of chisel
育,"produce, give birth to; educate"
胚,embryo; unfinished things
胖,"fat, obese; fatty"
胄,"helmet, headpiece; descendant"
肾,"kidneys; testes, gizzard"
肺,lungs
肵,table
鈔,"paper money, bank notes; copy"
鉀,potassium (K)
鉄,"iron; strong, solid, firm"
胥,"all, together, mutually"
脚,"leg, foot; base, leg, foundation"
脊,"spine, backbone; ridge"
脅,ribs; armpits; flank; threaten
脂,"fat, grease, lard; grease"
金,gold; metals in general; money; Kangxi radical 167
能,"to be able; can, permitted to; ability"
胷,"breast, chest, thorax; clamor"
胳,"armpit, arms"
肢,human limbs; animal feet
肅,pay respects; reverently
聽,"hear, listen; understand; obey"
鉞,"broad-axe, a battle axe, halberd"
職,"duty, profession; office, post"
鋭,sharp
聵,deaf
聲,"sound, voice, noise; tone; music"
聱,bent and twisted; too complicated
錐,"gimlet, awl, drill, auger; bore"
銃,"ancient weapon, blunderbuss"
肖,"look like, resemble, be like"
銒,ancient wine vessel
銘,"inscribe, engrave; unforgettably"
銚,large hoe; surname; a spear
肈,to commence; to found; to devise. at first. to originate. to strike
脩,dried meat (used as teachers payment in ancient times)
释,"interpret, elucidate; release"
釐,"manage, control; thousandth part of tael"
釋,"interpret, elucidate; release"
臭,"smell, stink, emit foul odor"
自,"self, private, personal; from; Kangxi radical 132"
興,"thrive, prosper, flourish"
與,"and; with; to; for; give, grant"
舁,carry on one's shoulder
臾,"moment, instant, short while"
臻,"reach, arrive; utmost, superior"
臺,"tower, lookout; stage, platform"
腸,intestines; emotions; sausage
腎,"kidneys; testes, gizzard"
脯,dried meat; preserved fruits
臟,"internal organs, viscera"
臉,face; cheek; reputation
臈,year end sacrifice; dried meat
膿,pus
膽,"gall bladder; bravery, courage"
膏,"grease, fat; paste, ointment"
膂,"backbone, spinal column"
㐌,a tribe of savages in South China
啄,to peck; (Cant.) to slander
啼,"weep, whimper; howl, twitter"
啣,"hold in mouth; harbor, cherish"
啓,"open; begin, commence; explain"
嗚,"sound of crying, sobbing"
嗔,"be angry at, scold, rebuke"
嗏,(Cant.) imperative final particle
嗌,"the throat; to quarrel, choke"
喜,"like, love, enjoy; joyful thing"
喊,"shout, call out, yell; howl; cry"
喉,"throat, gullet, larynx; guttural"
唫,"to hum, to intone, etc. to close, to shut"
嗣,"to connect, inherit; descendants, heirs"
哀,"sad, mournful, pitiful; pity"
咿,descriptive of creaking; laugh
咱,"we, us"
咫,foot measure of Zhou dynasty
唪,"to recite, to intone or chant"
咨,"inquire, consult, discuss; plan"
咥,sound of a cat; bite; laugh
咢,sound; drumming
咐,"instruct, order"
哆,"tremble, shiver, shudder, quiver"
唎,"sound, noise; final particle"
唉,"alas, exclamation of surprise or pain"
唇,lips
哿,excellent; to commend to be able to
哮,cough; pant; roar
哩,mile
哨,"whistle, blow whistle; chirp"
員,"member; personnel, staff member"
哇,vomit; cry of an infant
嗷,loud clamor; sound of wailing
囿,"pen up; limit, constrain"
图,"diagram; chart, map, picture"
囹,"prison, enclosure"
圍,"surround, encircle, corral"
圎,"circle; round, circular; complete"
園,"garden; park, orchard"
土,"soil, earth; items made of earth"
團,"sphere, ball, circle; mass, lump"
嘆,"sigh, admire"
噲,"swallow, gulp down; greedy"
噬,bite; gnaw; snap at
噌,"scold, shout at"
噇,eating and drinking without restraint
嘻,"mirthful, happy; interjection"
嘴,"mouth, lips"
嘲,"ridicule, deride, scorn, jeer at"
嘱,"order, tell, instruct, leave word"
嘯,"roar, howl, scream; whistle"
嘛,final exclamatory particle
嘗,"taste; experience, experiment"
嘖,interjection of approval or admiration
嘏,"felicity, prosperity; large and strong"
噶,used in transliterations
嚀,"enjoin, instruct; charge"
嚅,talk indistinctly and falteringly
嚢,"bag, purse, sack; put in bag"
囘,"return, turn around; a time"
囑,"order, tell, instruct, leave word"
囉,"exclamatory final particle, nag"
嚷,"shout, brawl, make uproar, cry"
嚴,"strict, rigorous, rigid; stern"
叟,old man; elder
叙,"express, state, relate, narrate"
叔,father's younger brother
叱,"scold, shout at, bawl out"
収,"gather together, collect; harvest"
厮,servant; to make a disturbance
厭,"dislike, detest, reject; satiate"
厨,kitchen; closet; cupboard
厥,"personal pronoun he, she, it"
厠,"mingle with; toilet, lavatory"
厎,settle
厄,"adversity, difficulty, distress"
卿,"noble, high officer"
厰,"factory, plant, workshop, mill"
厳,"strict, rigorous, rigid; stern"
双,"set of two, pair, couple; both"
友,"friend, companion; fraternity"
又,"and, also, again, in addition"
叅,"to counsel, to consult together; to take part in; to intervene"
县,"county, district, subdivision"
吸,"inhale, suck in; absorb; attract"
呈,"submit, show; appear; petition"
吿,"tell, announce, inform; accuse"
吽,"'OM'; bellow; (Cant.) dull, stupid"
吶,"raise voice, yell out loud, shout; stammer"
吳,one of warring states; surname
吰,clang
听,"hear; understand; obey, comply"
否,"not, no, negative; final particle; hexagram ䷋"
呉,one of warring states; surname
呢,interrogative or emphatic final; (Cant.) this
呷,"suck, swallow, drink"
呶,talkative; clamour; hubbub
吏,"government official, magistrate"
吉,"lucky, propitious, good"
吐,"vomit, spew out, cough up"
娥,be beautiful; good; surname
婦,married women; woman; wife
婚,"get married; marriage, wedding"
婆,old woman; grandmother
婀,"be beautiful, be graceful"
姿,"one's manner, carriage, bearing"
娜,"elegant, graceful, delicate"
娛,"pleasure, enjoyment, amusement"
娘,mother; young girl; woman; wife
娄,surname; a constellation; to wear
威,"pomp, power; powerful; dominate"
婼,person
孀,widow
嬴,to win; to have a surplus; surname
嬰,"baby, infant; bother"
嬌,seductive and loveable; tender
嬉,"enjoy; play, amuse oneself"
嫌,"hate, detest; suspect; criticize"
嫁,"to marry, give a daughter in marriage"
媽,"mother, mama"
媲,"marry off, pair, match; compare"
姽,good
孚,brood over eggs; have confidence
妹,younger sister
妬,"jealous, envious"
妤,"beautiful, fair, handsome"
妝,"to adorn oneself, dress up, use make-up"
妙,"mysterious, subtle; exquisite"
妓,prostitute
姉,elder sister
姙,"conceive, be pregnant"
姊,elder sister
孟,"first in series; great, eminent"
寒,"cold, wintry, chilly"
實,"real, true, solid, honest"
寡,"widowed; alone, friendless"
寝,"sleep, rest; bed chamber"
寛,broad
寕,"repose, serenity, peace; peaceful"
寓,residence; lodge; dwell
家,"house, home, residence; family"
宻,"dense, thick, close; intimate"
容,"looks, appearance; figure, form"
宸,imperial; imperial palace
寨,"stockade, stronghold, outpost; brothel"
対,"correct, right; facing, opposed"
对,"correct, right; facing, opposed"
寬,"broad, wide; spacious, vast"
寫,"write; draw, sketch; compose"
孫,"grandchild, descendent; surname"
宄,a traitor; a villain
它,it; other
孽,evil; son of concubine; ghost
孺,child; blood relation; affection
孰,who? which? what? which one?
宴,"to entertain, feast; a feast, banquet"
季,quarter of year; season; surname
宰,to slaughter; to rule
宮,"palace, temple, dwelling, enclose"
宫,palace
宦,"officialdom, government official"
宥,"forgive, pardon, indulge"
室,"room, home, house, chamber; 13th lunar mansion, determinative star α Pegasi (Markab)"
客,"guest, traveller; customer"
宛,"seem, as if, crooked"
官,"official, public servant"
宕,stone quarry; cave dwelling
宐,"right, fitting, seemly"
填,"fill in, fill up; make good"
壌,"soil, loam, earth; rich"
壅,to obstruct
墮,"fall, sink, let fall; degenerate"
墨,ink; writing
境,"boundary, frontier; area, region"
墀,porch; courtyard; steps leading
塾,village school; private tutorage
塼,brick
塩,salt
堯,a legendary ancient emperor-sage
塞,"stop up, block, seal, cork; pass, frontier; fortress"
塔,"tower, spire, tall building"
塊,"piece, lump; dollar"
堵,"wall; stop, prevent; stop up"
壩,embankment; dam
壬,ninth heavenly stem
夕,"evening, night, dusk; slanted"
夋,to dawdle; the emperor Yao's father
处,"place, locale; department"
夂,go; Kangxi radical 34
夀,life; length of life; longevity
壮,"big, large; robust; name of tribe"
垣,low wall
垢,"dirt, filth, stains; dirty"
坫,a stand on which to replace goblets after drinking
坦,"flat, smooth; self-possessed"
坡,"slope, bank, hillside"
坟,"grave, mound; bulge; bulging"
均,"equal, even, fair; all, also"
坂,"hillside, inconvenient places"
圯,"bridge, bank"
埂,ditches for irrigation; hole
埃,"fine dust, dirt"
堪,"adequately capable of, worthy of"
堦,"stairs; a flight of steps; a degree, a class, a rank or step"
堠,"battlements, battlemented walls"
堊,white earth; to daub with white mud
堂,hall; government office
培,bank up with dirt; cultivate
埶,art
埵,hardened dirt or clay; cluster
埒,"enclosure, dike, embankment"
城,"castle; city, town; municipality"
埋,"bury, secrete, conceal"
奮,"strive, exert effort; arouse"
套,"case, cover, wrapper, envelope"
奪,"take by force, rob, snatch"
奩,lady's vanity case; trousseau
奧,"mysterious, obscure, profound"
奢,"extravagant, wasteful; exaggerate"
奝,large
奶,milk; woman's breasts; nurse
太,"very, too, much; big; extreme"
夹,be wedged or inserted between
夸,"extravagant, luxurious; handsome"
夭,"young, fresh-looking; die young"
夫,"man, male adult, husband; those"
奔,"run fast, flee; rush about; run"
天,"sky, heaven; god, celestial"
奄,"ere long; remain, tarry; feeble"
奇,"strange, unusual, uncanny, occult"
契,"deed, contract, bond; engrave"
奏,memorialize emperor; report
奈,"but, how; bear, stand, endure"
亥,twelfth earthly branch
亡,"death, destroyed; lose, perish"
亟,"urgently, immediately, extremely"
亝,"even, regular, uniform all alike; to arrange"
亜,Asia; second
亚,Asia; second
亦,"also, too; likewise"
仅,"only, merely, solely, just"
亷,"upright, honorable, honest"
亱,"night, dark; in night; by night"
京,capital city
享,enjoy
九,nine
乗,"ride, ascend; avail oneself of; numerary adjunct for vehicles"
乖,"rebel; crafty, shrewd"
亊,"affair, matter, business; to serve; accident, incident"
争,"dispute, fight, contend, strive"
了,to finish; particle of completed action
乾,"dry; warming principle of the sun, penetrating and fertilizing, heavenly generative principle (male); trigram ☰; hexagram ䷀"
伸,"extend, stretch out, open up; trust"
伴,"companion, comrade, partner; accompany"
伲,we (Shanghai dialect)
伤,"wound, injury; fall ill from"
伏,"crouch, crawl, lie hidden, conceal"
会,"assemble, meet together; meeting"
伙,"companion, colleague; utensils"
休,"rest, stop; retire; do not!"
伽,"transcription of Sanskrit 'gha' in Buddhist texts ('samgha', etc.); nursing; attending; entertainer (Japanese); temple; in Chinese this character is not used alone"
佑,"help, protect, bless"
佐,"assist, aid, second; subordinate"
低,"low; to lower, hang, bend, bow"
代,"replace, replacement (of person or generation); era, generation"
伍,"five, company of five; troops"
仼,"trust to, rely on, appoint; to bear, duty, office; allow"
仲,"middle brother; go between, mediator; surname"
仭,ancient unit of measure (8 feet); 'fathom'
佛,Buddha; of Buddhism; merciful person; Buddhist image; the dead (Japanese)
䋲,"(non-classical form of 繩) a rope; a cord, to restrain, to rectify; to correct"
䋄,(same as 網) web; net; network
䆫,(same as 窗) window
䄂,(ancient form) to pray and to curse (the ways of treating a patient in ancient times)
䀂,a big basin
七,seven
一,"one; a, an; alone"
䴡,(same as 麗) beautiful; elegant; fair; fine
䨴,gathering clouds
䢖,"to be scattered (over an area); to spread, to give an account of; to explain; to expound, to follow"
䘮,"(same as 喪) to lose; death; funeral, to mourn, to destroy"
䘚,"(same as 卒) a servant; an underling, a pawn in chess, abrupt; hurried"
䖝,(corrupted form of 虫 蟲) insects; worms
䔲,"name of a variety of grass, (same as 橙) the orange"
䓒,"(same as 蒯) Scirpus cyperinus var, concolor, a rush, from which many things are woven"
䒭,"(same as 等) rank; grade, same; equal, to wait, and so on; etc."
㕮,"to chew; to masticate, to dwell on, Chinese medicine term"
㝵,"(ancient form of 得) to get, complacent, (same as 礙) to obstruct, to hinder, to stop progress, to injure, to offend, to concern, hindrance, restraint"
㝎,(same as 定) to decide; to fix; to settle
㜑,"(same as 婆) an older woman, mother of one's husband, one's grandmother"
㛐,(non-classical form of 嫂) wife of one's elder's brother
㘴,"(same as 坐) to sit, a seat"
㗖,"(non-classical form of 啗) to eat; to chew; to bite. to entice; to lure, to contain; to, comprise"
㖃,"(interchangeable 吼) to roar of animals, angry tones, (interchangeable 詬) a sense of shame; to shame, to vomit"
㕶,"(Cant.) an expletive, exclamation"
㕥,"by means of; thereby, therefore; in order to"
㕣,"a marsh at the foot of the hills, (interchangeable 湢 沇) name of a river"
㳂,"to follow a course; to go along; to coast, to hand down; to continue, to conserve; along or by, as a road or a coast"
㱕,"(large seal type 歸) the marriage of a woman, to return to; to revert to; to go back, to belong to, to restore, to send back"
㭬,"(corrupted form of 椓) to beat; to tap; to thrash, castration as a punishment in ancient times, a castrate man, to accuse or charge"
㫁,"(non-classical form of 斷) to cut apart, to sever, to break; broken; to abstain from, to conclude"
㪯,"(non-classical form of 舉) to lift; to raise; to commend; to praise, entire; whole"
㨂,to beat; to strike; to attack
㧾,"to strike, to bale out; to clean up"
㦯,"(same as 或) a certain; some, perhaps; probably; maybe, or"
㤙,"(same as 恩) grace, favour, kindness, mercy"
㠯,"according to; to use; with, for"
㞑,"(standard form of 尾) the tail; the rear, last; final"
中,"central; center, middle; in the midst of; hit (target); attain"
丵,thick (grass)
临,"draw near, approach; descend"
乆,"long time (ago); time passage, grow late"
乄,SHIME: to find a place to dwell; sum; a measurement of paper; SHITE to do; (not to be confused with U3024 HANGZHOU NUMERAL FIVE)
乃,"then; really, indeed; as it turned out, after all; namely"
乂,"govern, control, manage; nurture"
丨,(same as 〡 HANGZHOU NUMERAL ONE) number one; line
丧,mourning; mourn; funeral
两,"two, both, pair, couple; ounce"
丢,discard
且,"moreover, also (post-subject); about to, will soon (pre-verb)"
佗,"other, he; surname; a load"
判,judge; discriminate; conclude
刺,"stab; prick, irritate; prod"
到,"go to, arrive, been to"
别,"separate, other; do not"
利,"gains, advantage, profit, merit"
刧,"disaster, misfortune; coerce"
別,"separate, other; do not"
刑,"punishment, penalty; law"
刋,"publication, periodical; publish"
功,"achievement, merit, good result"
办,"manage, do, handle; deal with"
劝,"recommend, advise, urge"
劒,"sword, dagger, saber"
劍,"sword, dagger, saber"
劉,"surname; kill, destroy"
劄,brief note; official communique
剷,"to level off, cut off, pare down, raze"
剤,medicinal preparation
剗,to level off; to trim; to pare down
劣,"bad, inferior; slightly"
净,"clean, pure; cleanse"
凊,surname
凈,"clean, pure; cleanse"
凃,mud; surname
凂,to request; to ask a favour of
减,"decrease, subtract, diminish"
凖,"rule, guideline, standard"
刄,"edged tool, cutlery, knife edge"
刀,knife; old coin; measure
凴,"to rely on, depend on; evidence, proof"
凰,female phoenix
凭,"lean on, depend on, rely on"
凨,"wind; air; manners, atmosphere"
卑,"humble, low, inferior; despise"
卞,"to be impatient, in a hurry; excitable"
单,"single, individual, only; lone"
卉,general term for plants; myriads
升,"arise, go up; hoist; advance; hexagram ䷭"
占,divine; observe; versify
卦,fortune telling; tell fortunes
却,"still, but; decline; retreat"
卲,"eminent, lofty; beautiful; surname"
印,"print, seal, stamp, chop, mark"
卨,used in old names; phonetic seol used in Korean names
十,"ten, tenth; complete; perfect"
勾,"hook, join, connect; entice"
勻,"equal, impartially, uniform, even"
勹,wrap; Kangxi radical 20
勲,meritorious deed; merits; rank
勢,"power, force; tendency"
務,"affairs, business; must, should"
勗,"enjoin, advise, excite"
動,"move, happen; movement, action"
勒,"strangle, tighten"
勑,reward; sincere
勇,"brave, courageous, fierce"
労,"labor, toil, do manual work"
劭,encourage; to excel; excellent
助,"help, aid, assist"
匀,equal
