char,kDefinition
爵,feudal title or rank
事,"affair, matter, business; to serve; accident, incident"
屏,"folding screen, shield"
奎,"stride of man; 15th lunar mansion, determinative star η Andromedae"
然,"yes, certainly; pledge, promise"
疾,"illness, disease, sickness; to hate"
内,inside
妻,wife
曵,"trail, tow, drag, pull"
究,"examine, investigate"
捧,hold up in two hands
烟,"smoke, soot; opium; tobacco, cigarettes"
打,"strike, hit, beat; fight; attack"
抑,"press down, repress; curb, hinder"
后,"queen, empress, sovereign; (simp. for 後) behind, rear, after"
鬼,"ghost; spirit of dead; devil; Kangxi radical 194; 23rd lunar mansion, determinative star θ Cancri"
侯,"marquis, lord; target in archery"
兀,to cut off the feet
唱,"sing, chant, call; ditty, song"
依,"rely on, be set in; consent, obey a wish"
卷,scroll; curl; make a comeback
陣,"column, row or file of troops"
侵,"invade, encroach upon, raid"
消,"vanish, die out; melt away"
烏,"crow, rook, raven; black, dark"
香,"fragrant, sweet-smelling; incense; Kangxi radical 186"
道,"path, road, street; method, way"
但,"only; but, however, yet, still"
冒,"risk, brave, dare"
眉,eyebrows; upper margin of book
庫,"armory, treasury, storehouse"
耳,"ear; merely, only; handle; Kangxi radical 128"
丿,line; Kangxi radical 4
忝,disgraced; ashamed; self-deprecating
屬,"class, category, type; to belong to"
屠,"butcher, slaughter, massacre"
必,"surely, most certainly; must"
羽,"feather, plume; wings; Kangxi radical 124"
死,die; dead; death
看,"look, see; examine, scrutinize"
時,"time, season; era, age, period"
支,"disperse, pay; support; branch"
罢,"cease, finish, stop; give up"
捕,"arrest, catch, seize"
房,"house, building; room; 4th lunar mansion, determinative star π Scorpii"
寺,"court, office; temple, monastery"
妥,"satisfactory, appropriate"
母,mother; female elders; female
基,"foundation, base"
數,number; several; count; fate
練,"practice, drill, exercise, train"
髙,"high, tall; lofty, elevated"
慱,sad
來,"come, coming; return, returning"
公,"fair, equitable; public; duke"
恩,"kindness, mercy, charity"
詎,interjection used to express surprise
果,fruit; result
效,"result, effect; effectiveness"
遁,"hide, conceal oneself; escape"
放,"put, release, free, liberate"
地,"earth; soil, ground; region"
民,"people, subjects, citizens"
有,"have, own, possess; exist"
固,"to become solid, solidify; strength"
壽,"old age, long life; lifespan"
吟,"sing, hum; recite; type of poetry"
己,"self, oneself; personal, private; 6th heavenly stem"
鎮,"town, market place; suppress"
尾,"tail, extremity; end, stern; 6th lunar mansion, determinative star μ¹ Scorpii (Xamidimura)"
将,"will, going to, future; general"
鄧,a county in Henan; surname
蜀,"one of the Three Kingdoms, established by Liu Bei"
涂,surname; name of certain rivers
巽,"south-east; mild, modest, obedient; trigram ☴; hexagram ䷸"
歇,"rest, stop, lodge"
衆,"multitude, crowd; masses, public"
冬,"winter, 11th lunar month"
冶,"smelt, fuse metals; cast, found"
覺,to wake up from sleep; conscious
凡,"all, any, every; ordinary, common"
須,"must, have to, necessary; moment; whiskers"
深,"deep; depth; far; very, extreme"
庐,"hut, cottage; name of a mountain"
呌,to call; to summon
任,"trust to, rely on, appoint; to bear, duty, office; allow"
乙,second; 2nd heavenly stem
𧹒,"buy, purchase; bribe, persuade"
米,hulled or husked uncooked rice
禀,"report to, petition"
愁,"anxiety; to worry about, be anxious"
據,"to occupy, take possession of; a base"
惮,"dread, shrink from, shirk, fear"
厚,thick; substantial; greatly
改,"change, alter; improve, remodel"
罔,net; deceive; libel; negative
静,"quiet, still, motionless; gentle"
敗,"be defeated, decline, fail"
神,"spirit, god, supernatural being"
祝,pray for happiness or blessings
刻,"carve, engrave; quarter hour"
雪,"snow; wipe away shame, avenge"
意,"thought, idea, opinion; think"
節,"knot, node, joint; section; hexagram ䷻"
仵,similar
所,"place, location; numerary adjunct"
户,door; family
納,"admit, take, receive, accept"
編,"knit, weave; arrange; compile"
匈,"breast, chest, thorax; clamor; the Hsiung Nu 'Huns'"
祕,"mysterious, secret, abstruse"
摂,"take in, absorb; act as deputy"
愕,"startled, alarmed, astonished"
撓,"scratch; disturb, bother; submit"
勺,"spoon, ladle; unit of volume"
难,"difficult, arduous, hard; unable"
危,"dangerous, precarious; high; 12th lunar mansion, determinative star α Aquarii (Sadalmelik)"
曉,"dawn, daybreak; clear, explicit"
朕,pronoun 'I'
盈,"fill; full, overflowing; surplus"
本,"root, origin, source; basis"
机,desk; machine; moment
馮,surname; gallop; by dint of
条,"clause, condition; string, stripe"
典,"law, canon; documentation; classic, scripture"
痍,"wound, bruise, sore"
症,"disease, illness, ailment"
病,"illness, sickness, disease"
染,dye; be contagious; infect
魂,"soul, spirit"
更,"more, still further, much more; to change, alter"
餌,"bait; bait, entice; dumplings"
磊,pile of rocks or stones; great
刈,"cut off, reap, mow; sickle"
息,"rest, put stop to, end, cease"
旨,"purpose, aim; excellent"
丁,"male adult; robust, vigorous; 4th heavenly stem"
䵟,"(same as 皯) black, black moles or black birthmarks on the face"
旺,prosper; prosperous; increase
碉,room made of stone; watchtower
硐,(variant of 洞) cave; chamber; pit
出,"go out, send out; stand; produce"
破,"break, ruin, destroy; rout"
昭,"bright, luminous; illustrious"
几,small table
短,"short; brief; deficient, lacking"
伎,"talent, skill, ability"
飢,"hunger, starving; hungry; a famine"
晋,"advance, increase; promote"
普,"universal, general, widespread"
悔,"repent, show remorse, regret"
翅,wings; fin
罸,"penalty, fine; punish, penalize"
學,"learning, knowledge; school"
乳,"breast, nipples; milk, suckle"
也,also; classical final particle of strong affirmation or identity
完,"complete, finish, settle; whole"
術,"art, skill, special feat; method, technique"
宣,"declare, announce, proclaim"
仍,"yet, still, as ever; again; keep -ing, continuing"
寃,"grievance, injustice, wrong"
寄,"send, transmit, mail; rely on"
適,"match, comfortable; just"
咲,"smile, laugh, giggle; snicker"
𧊵,rainbow
蛛,spider
著,manifest; (Cant.) to wear
呪,"curse, damn, incantation"
袍,"long gown, robe, cloak"
诸,"various, all, these; surname"
轉,"shift, move, turn"
交,"mix; intersect; exchange, communicate; deliver"
嚼,"prattle, be glib"
貯,"store, stockpile, hoard"
姦,"adultery, debauchery; debauch"
奴,"slave, servant"
詞,"words; phrase, expression"
喧,"lively, noisy; clamor, talk loudly"
妒,"jealous, envious"
