verse_no	luc_bat	qn_verse	nom_text
1713	8	Vực nàng đưa xuống để an dưới thuyền.	域娘迻𫴋底安𠁑船
1714	6	Buồm cao LÈO thẳng cánh suyền,	帆高撩𬆅𦑃耑
1715	8	Đè chừng huyện Tích băng miền vượt sang.	提澄縣錫氷沔𣾼𨖅
1716	6	Dỡ đò lên TRƯỚC sảnh đường,	󰇥渡蓮𨍦󱚷堂
1717	8	Khuyển Ưng hai đứa nộp nàng dâng công.	犬鵉𠄩𠀲納娘𤼸功
1718	6	Vực nàng tạm xuống môn phòng,	域娘暫𫴋门房
1719	8	Hãy còn thiếp thiếp giấc nồng chưa phai.	唉群帖帖聀燶渚派
1720	6	Hoàng lương NGHE tỉnh hồn mai,	黄梁𦖑醒魂梅
1721	8	Cửa nhà đâu mất lâu đài nào đây?	𫔳茹󰠳秩楼臺芇低
1722	6	Bàng hoàng dở tỉnh dở say,	徬徨󰇥醒󰇥醝
1723	8	Sảnh TRÊN MẮNG tiếng đòi ngay lên hầu.	󱚷𨕭𠻵㗂隊𣦍蓮侯
1724	6	A hoàn TRÊN DƯỚI giục mau,	了鬟𨕭󰡎𠽖毛
1725	8	Hãi hùng nàng mới theo sau MỌI người.	駭䧺娘買蹺𨍦每㝵
1726	6	NHÁC trông toà THOÁNG dãy dài,	𥋷𬖉座曠圯𨱽
1727	8	"""Thiên quan trủng tể"" có bài treo. trên."	天官家宰󰡏排撩𨖲
1728	6	BẰNG ngày NẾN thắp hai bên,	平𣈜𤓢𤏧𠄩边
1729	8	TRÊN giường thất bảo ngồi LÊN một bà.	𨕭床七宝𡎢𨕭𠬠󰜏
1730	6	Gạn gùng ngọn hỏi ngành tra,	𠲟𠴛𦰟𠳨梗查
1731	8	Sự mình nàng ĐÃ cứ mà gởi thưa.	事𠇮娘㐌拠麻𠳚䜹
1732	6	Bất tình nổi trận mây mưa.	不情浽陣𫡮湄
1733	8	Diếc nàng: “Những GIỐNG bơ thờ quen thân.	󰂋娘仍󰡔巴蜍悁身
1734	6	"""Con này chẳng phải thiện nhân,"	昆尼庄沛善人
1735	8	“Chẳng MÀU trốn chúa thì quân lộn	庄牟遁主時筠論𫯳
1736	6	"""Ra tuồng mèo mả cò đồng,"	𦋦從猫𡏢𪂮同
1737	8	"""Ra tuồng lúng túng chẳng xong bề nào."	𦋦從𨻫縱庄衝皮芇
1738	6	"""Đã đem mình bán cửa tao,"	㐌󰝂𠇮半㪯蚤
1739	8	“Lại còn khủng KHIỂN làm cao thế này!	吏群共犬爫高砌尼
1740	8	“ GIA PHÁP ĐÂỦ TRẺ nọ bay!	家法󰠲𥘷怒𠖤
1741	8	"""Hãy cho ba chục biết tay một lần."""	唉朱𠀧󰁭別𢬣𠬠吝
1742	6	A hoàn trên dưới dạ rân,	了鬟𨕭󰡎㖡噒
1743	8	Dẫu rằng trăm miệng khôn phân nhẽ NÀO .	酉浪𤾓𠰘坤分𨤧-
1744	6	Trúc côn ra sức CHẬP vào,	竹棍𦋦飭拉𠓨
1745	8	Thịt nào chẳng nát gan nào chẳng kinh.	𦧘芇庄󰞺肝芇庄󰟹
1746	6	Xót thay đào lý một cành,	㤕台桃李𠬠梗
1747	8	Một phen mưa gió tan tành một phen.	𠬠畨湄𫗄散情𠬠畨
1748	6	Hoa nô truyền dạy đổi tên,	花奴傳𠰺対𠸜
1749	8	PHÒNG THÊU dạy ép vào phiên thị tì.	房絩𠰺押𠓨番侍牌
1750	6	Ra vào theo lũ thanh y,	𦋦𠓨蹺𠎪青衣
1751	8	Dãi dầu tóc rối da chì quản bao.	𣹘油𫡮𰦫䏧𨨲管包
1752	6	QUẢN gia có một mụ nào,	管家󰡏𠬠媒芇
1753	8	Thấy người thấy nết ra vào mà thương.	体㝵体󰞺𦋦𠓨麻傷
1754	8	Khi chè chén khi thuốc THANG ,	欺茶󱋓欺𬟥易
1755	8	Đem lời phương tiện mở đường hiếu sinh.	󰝂𠳒方便𨷑塘好生
1756	6	"Dạy rằng: ""May rủi đã đành,"	𠰺浪埋𰦫㐌停
1757	8	"""Liễu bồ mình giữ lấy mình cho hay."	柳蒲𠇮𪧚𥙩𠇮朱台
1758	6	"""Cũng là oan nghiệp chi đây,"	拱󰑼寃業之低
1759	8	"""Sa cơ mới đến thế này chẳng dưng."	沙机買旦势尼𫽄仍
1760	6	"""Ở đây tai vách mạch rừng,"	扵低𦖻壁脉棱
1761	8	"""Thấy ai người cũ cũng đừng nhìn chi."	𧡊埃㝵𫇰拱停𥚆之
1762	6	"""Kẻo khi sấm sét bất kỳ,"	矯欺𩆐𩄰不期
1763	8	"""Con ong cái kiến kêu gì được oan!"""	昆蜂丐蜆呌之特寃
1764	6	Nàng càng GIỎ ngọc như chan,	娘強𥮊玉如滇
1765	8	NO lòng NO những bàn hoàn niềm tây.	𩛂𢚸𩛂仍盘桓念西
1766	6	Phong trần kiếp đã chịu đầy,	󰘩塵刼㐌𠹾苔
1767	8	Lầm than CŨNG có thứ này bằng hai!	淋炭拱󰡏次尼平𠄩
1768	6	LÀM sao bạc chẳng vừa thôi?	爫牢泊󰝸皮傕
1769	8	CHẰNG CHẰNG buộc mãi lấy người hồng nhan.	󰇿󰇿𥾾買𥙩㝵紅顔
1770	6	Đã đành túc trái tiền oan,	㐌停夙債前寃
1771	8	Cũng liều ngọc nát hoa tàn mà chi.	拱料玉󰞺花殘麻之
1772	6	Những là nương náu qua thì,	仍󰑼娘耨戈時
1773	8	Tiểu thư phải buổi mới về ninh gia.	小姐沛𣇜買󰡲寧家
1774	6	Mẹ con trò chuyện lân la,	媄昆路傳隣󰑼
1775	8	Phu nhân mới gọi nàng ra dạy lời:	夫人買噲娘𦋦𠰺𠳒
1776	6	"""Tiểu thư dưới trướng thiếu người,"	小姐𠁑帳少㝵
1777	8	“Cho về bên ấy theo đòi ĐÀI trang .”	朱󰡲边意蹺隊臺粧
1778	6	Lĩnh lời, nàng mới theo sang,	領𠳒娘買蹺𨖅
1779	8	Biết đâu địa ngục thiên đường là đâu.	別󰠲地獄天堂󰑼󰠲
1780	6	Sớm khuya khăn mặt lược đầu,	𣌋𣅘巾󰘚畧頭
1781	8	Phận con hầu giữ con hầu dám sai.	分昆候𪧚昆候敢差
1782	6	PHẢI đêm êm ả chiều trời,	沛店唵呵朝𡗶
1783	8	Trúc tơ hỏi đến nghề chơi mọi ngày.	竹絲𠳨旦芸制每𣈜
1784	6	Lĩnh lời nàng mới DẮT dây,	領𠳒娘買𢴑𦀊
1785	8	Nỉ non thánh thót dễ say lòng người.	𠰚𡽫咱𡁾易醝𢚸㝵
1786	6	Tiểu thư xem cũng thương tài,	小姐𫀅拱傷才
1787	8	Khuôn uy dường cũng BỚT vài bốn phân.	囷威󰟯拱扒𠄽𦊚分
1788	6	Cửa người đày đoạ XÓT thân,	㪯㝵苔墮㤕身
1789	8	Sớm NĂN NỈ bóng đêm ÂN HẬN lòng.	󰉚󱋔𠰚䏾店恩恨𢚸
1790	6	Lâm- tri chút nghĩa đèo bòng,	臨淄󰡑󰒂刃蓬
1791	8	Nước BÈO để chữ tương phùng kiếp sau.	渃䕯底𡦂相逢刼𨍦
1792	6	Bốn phương mây trắng một màu,	𦊚方𫡮𤽸𠬠牟
1793	8	Trông vời cố quốc biết đâu là nhà?	󰛎潙故囯別󰠳󰑼茹
1794	6	Lần lần tháng lọn ngày qua,	吝吝𣎃淪𣈜戈
1795	8	Nỗi gần, nào biết đường xa thế này.	浽𧵆芇別塘車世尼
1796	6	Lâm- tri từ thủa uyên bay,	臨淄自課鴛𠖤
1797	8	Phòng không thương kẻ tháng ngày chiếc thân.	房空傷几𣎃𣈜隻身
1798	6	Mày XANH trăng mới in ngần,	眉撑𦝄買印痕
1799	8	Phấn thừa hương cũ bội phần xót xa.	粉乘香󱀄倍分㤕車
1800	6	Sen tàn MAI lại CHIẾNG hoa,	蓮殘梅吏𦭒花
1801	8	Sầu dài ngày vắn đông đà sang xuân.	愁𨱽𣈜𥐆冬它郎春
1802	6	Tìm đâu cho thấy cố nhân?	尋󰠲朱体故人
1803	8	Lấy câu vận mệnh CỔI dần nhớ thương.	𥙩勾運𠇮𪭯寅𢖵傷
1804	6	Chạnh niềm NHỚ ĐẾN gia hương,	鄭念𢖵旦家鄕
1805	8	Nhớ quê chàng lại tìm đường thăm quê.	𢖵圭払吏尋塘深圭
1806	6	Tiểu thư đón cửa dã giề,	小姐迍𫔳吔提
1807	8	Hàn huyên vừa cạn mọi bề gần xa.	寒暄皮𣴓每皮𧵆賒
1808	6	Nhà HƯƠNG cao cuốn bức là,	茹香高捲幅羅
1809	8	Phòng trong truyền gọi nàng ra lạy mừng.	房𥪝傳哙娘𦋦𥛉𢜠
1810	6	Bước ra một bước một dừng,	𨀈𦋦𠬠𨀈𠬠𨀊
1811	8	Trông xa nàng đã tỏ chừng nẻo xa.	𬂙賒娘㐌𤏣澄裊賒
1812	6	Phải rằng nắng quáng đèn loà,	沛浪𬋟𤈛畑𤍶
1813	8	Rõ ràng ngồi đó chẳng là Thúc sinh?	𤑟𤉜𡎢妬庄󰑼束生
1814	6	Bây giờ tình mới RÕ tình,	碑徐情買𤑟情
1815	8	Thôi thôi đã mắc vào vành chẳng sai!	催催㐌默𠓨𫒥󰝸差
1816	6	Chước đâu có chước lạ đời,	斫󰠲󰡏斫𨔍𠁀
1817	8	Người đâu mà lại có người tinh ma.	㝵󰠲麻吏󰡏㝵精魔
1818	6	Rõ ràng thật lứa đôi ta,	𤑟𤉜实侶堆些
1819	8	Làm ra con ở chúa nhà đôi nơi.	爫𦋦昆於主茹堆尼
1820	6	Bề ngoài thớt thớt nói cười,	皮外噠噠呐唭
1821	8	Mà trong nham hiểm CHẾT người không dao.	麻冲岩險𣩂㝵空刀
1822	6	Bây giờ đất thấp trời cao,	碑除坦𥰊𡗶高
1823	8	Ăn làm sao nói làm sao bây giờ?	咹爫牢呐爫牢悲除
1824	6	Càng trông mặt càng ngẩn ngơ,	強𬂙󰘚強󰡢󰡣
1825	8	Ruột tằm đòi đoạn như tơ rối bời,	𫆧蟳隊󰞂如絲󰑚排
1826	6	Sợ uy dám chẳng vâng lời,	𢜝威敢󰝸𠳐𠳒
1827	8	Cúi đầu nép xuống sân mai một CHIỀU .	󱖺頭納𫴋𡑝梅𠬠󱴲
1828	6	Sinh đà phách lạc hồn xiêu:	生它魄落塊漂
1829	8	Thương ôi chẳng phải nàng Kiều ở đây?	傷喂󰝸沛娘娇扵低
1830	6	Nhân làm sao đến thế này?	因爫牢旦󰡫尼
1831	8	Thôi thôi ta đã mắc tay AI rồi!	催催些㐌默𢬣它耒
1832	6	Sợ quen dám hở ra lời,	𢜝悁敢𠼯𫥨𠳒
1833	8	Khôn ngăn giọt ngọc sụt sùi nhỏ sa.	坤拫湥玉湥洡𡮈沙
1834	6	Tiểu thư trông mặt hỏi tra:	小姐𬂙󰘚𠳨查
1835	8	"""Mới về có việc chi mà động dung?"""	買󰡲󰡏𭛣之麻動容
1836	6	"Sinh rằng: ""Hiếu phục vừa xong,"	生浪孝服皮衝
1837	8	“Suy lòng trắc Dĩ đau lòng CHUNG thiên!”	推𢚸陟𡵆𤴬𢚸冬天
1838	6	"Khen rằng: ""Hiếu tử đã nên!"	𠸦浪孝于㐌𢧚
1839	8	"""Tẩy trần mượn chén giải phiền đêm thu"""	洗塵慢󱋓解煩店秋
1840	6	Vợ chồng chén tạc chén thù,	㛪𫯳󱋓酢󱋓酬
1841	8	Bắt nàng đứng chực trì hồ hai nơi.	扒娘𨅸植持壼𠄩尼
1842	6	Bắt khoan bắt nhặt đến lời,	扒寬扒日旦𠳒
1843	8	Bắt quì tận mặt bắt mời tận tay.	扒跪尽󰘚扒𨑮尽𢬣
1844	6	Sinh càng như dại như ngây,	生強如𤵺如𬏝
1845	8	Giọt dài giọt VẮN chén đầy chén vơi.	湥𨱽湥𥐆󱋓苔󱋓潙
1846	6	DỬNG đi chợt nói chợt cười,	𢘩𠫾秩呐秩唭
1847	8	Cáo say chàng đã dạm bài lảng ra.	告醝払㐌淡排𤎜𦋦
1848	6	"Tiểu thư vội thét: ""Con Hoa!"	小姐倍𠯦昆花
1849	8	"""Khuyên chàng chẳng cạn thì ta có đòn."""	勸払庄𣴓時些󰡏扽
1850	6	Sinh càng nát ruột tan hồn.	生強󰞺𫆧散魂
1851	8	Chén mời phải ngậm bồ hòn ráo ngay.	󱋓𠶆沛唅蒲丸燥𣦍
1852	8	Tiểu thư cười TỈNH NÓI say ,	小姐唭醒呐醝
1853	8	Chưa xong cuộc rượu lại bày trò chơi.	渚重局𨢇吏排路󱉁
1854	6	"Rằng: ""Hoa nô đủ mọi tài,"	浪花奴覩每才
1855	8	"""Bản đàn thử dạo một bài chàng nghe."""	版弹呲𨄹𠬠排払𦖑
1856	6	Nàng đà tán hoán tê mê,	娘它散唤痺迷
1857	8	Vâng lời ra trước bình the vặn đàn.	𠳐𠳒𦋦𫏾屏𦂛󰟴弹
1858	6	Bốn dây như khóc như than,	𦊚𦀊如哭如嘆
1859	8	Khiến người trên tiệc cũng tan nát lòng.	遣㝵蓮蓆拱散󰞺𢚸
1860	6	Cùng trong một tiếng tơ đồng,	拱沖𠬠㗂絲桐
1861	8	Người ngoài cười nụ người trong khóc thầm.	㝵外唭𦵚㝵冲哭󰠐
1862	6	Giọt châu lã chã khôn cầm,	湥珠呂渚坤扲
1863	8	Cúi đầu chàng những gạt thầm giọt Tương.	𩠴頭払仍拔󰠐湥湘
1864	6	Tiểu thư lại NẠT lấy nàng:	小姐吏𠽇𥙩娘
1865	8	"""Cuộc vui gảy khúc đoạn trường ấy chi!"	局盃𢭮曲断膓意之
1866	6	"""Sao chẳng biết ý tứ gì?"	牢󰝸別意思之
1867	8	"""Cho chàng buồn bã tội thì tại ngươi."""	朱払盆𬐒罪時在𤽗
1868	6	Sinh càng thảm thiết bồi hồi,	生強惨切徘徊
1869	8	Vội vàng gượng nói gượng cười cho qua.	倍傍強呐強唭朱戈
1870	6	Khúc rồng canh đã điểm ba,	曲𧍰更㐌點𠀧
1871	8	Tiểu thư nhìn mặt dường đà cam tâm.	小姐𥚆󰘚羕它甘心
1872	6	Lòng riêng KHẤP KHỞI mừng thầm:	𢚸貞㕸𠳚𢜠󰠐
1873	8	“ BUỒN này đã bõ đau ngầm xưa nay!”	𢝙尼㐌補𤴬吟初󰅒
1874	6	Sinh thì gan héo ruột dày,	生時肝𤉗𫆧苔
1875	8	Nỗi lòng càng nghĩ càng cay đắng lòng.	浽𢚸強𢪀強荄䔲𢚸
1876	6	Người vào chung gối loan phòng,	𠊛𠓨鐘𪭯鵉房
1877	8	Nàng ra tựa bóng đèn chong canh dài.	娘𦋦𢭸䏾畑終更𨱽
1878	8	ĐẾN NAY mới BIẾT ĐẦU ĐUÔI ,	旦󰅒買別頭𡳪
1879	8	Máu ghen đâu có lạ đời nhà ghen!	𧖱悭󰠲󰡏𨔍𠁀茹悭
1880	6	Chước đâu rẽ thuý chia uyên.	斫󰠲𢪊翠𢺺鴛
1881	8	AI ra ĐƯỜNG NẤY ai nhìn được ai?	埃𦋦塘乃埃𥚆特埃
1882	8	Bây giờ một vực một TRỜI ,	悲除𠬠域𠬠𠳒
1883	8	Hết điều CHIỀU CHUỘNG hết lời thị phi.	歇調朝𡮶歇調是非
1884	6	Nhẹ như bấc nặng như chì,	珥如苝󰠱如𨨲
1885	8	Gỡ SAO ra NỢ còn gì là duyên?	𫽻牢𦋦女群之󰑼緣
1886	6	Lỡ DƯỜNG chút phận thuyền quyên,	吕󰟯𡭧分婵娟
1887	8	Bể sâu sóng cả có tuyền được vay?	𣷭溇㳥奇󰡏全特爲
1888	6	Một mình âm ỷ đêm chầy,	𠬠𠇮陰倚店迡
1889	8	Đĩa dầu vơi nước mắt đầy năm canh.	𥒦油潙渃𬑉苔𠄼更
1890	6	Sớm khuya hầu hạ đài doanh,	󰉚𣅘候下臺萾
1891	8	Tiểu thư chạm mặt đè tình hỏi tra.	小姐暫󰘚提情𠳨查
1892	6	Lựa lời nàng mới thưa qua:	攎𠳒娘買䜹戈
1893	8	Phải khi mình lại xót xa nỗi mình.	沛欺𠇮吏㤕賒浽𠇮
1894	6	Tiểu thư LẠI HỎI Thúc sinh:	小姐吏𠳨束生
1895	8	"""Cậy chàng tra lấy thực tình cho nao."""	忌払查𥙩实情朱㝹
1896	6	Sinh đà rát ruột như bào,	生它薩𫆧如胞
1897	8	Nói ra chẳng tiện trông vào chẳng XOANG .	呐𫥨庄便𬂙𠓨庄󰡵
1898	6	Những e lại luỵ đến nàng,	仍𠲖吏累旦娘
1899	8	Phô sòng mới sẽ LIỆU đường hỏi tra.	哺崇買仕料塘𠳨查
1900	6	Cúi đầu quì trước sân hoa,	󱖺頭跪畧𡑝花
1901	8	BẠCH cung nàng mới LÊN qua một tờ.	白供娘買𨖲戈𠬠祠
1902	6	Diện tiền trình với tiểu thư,	靣前呈貝小姐
1903	8	Thoắt xem dường có ngẩn ngơ NAO tình.	率󰏙󰟯󰡏󰡢󰡣㝹情
1904	6	Liền tay trao lại Thúc sinh,	連𢬣𢭂吏束生
1905	8	"Rằng: ""Tài nên trọng mà tình nên thương."	浪才𢧚重麻情𢧚傷
1906	6	"""Ví sinh có số giàu sang,"	󰂇生󰡏𢼂𢀭𢀨
1907	8	"""Giá này dẫu đúc nhà vàng cũng nên!"	債尼酉𤒘茹鐄拱𢧚
1908	6	"""Bể trần chìm nổi thuyền quyên,"	𣷭塵沉浽婵娟
1909	8	"""Hữu tài thương nỗi vô duyên lạ đời!"""	有才傷浽󰟁緣𨔍𠁀
1910	6	"Sinh rằng: ""Thật có như lời,"	生浪实󰡏如𠳒
1911	8	"""Hồng nhan bạc mệnh một người nào vay!"	紅顔泊𠇮𠬠㝵芇爲
1912	6	"""Nghìn xưa âu cũng thế này,"	𠦳初欧拱󰡫尼
1913	8	"""TỪ bi âu liệu bớt tay mới vừa."""	慈悲欧料扒𢬣買皮
1914	6	"Tiểu thư rằng: ""Ý trong tờ,"	小姐浪意冲詞
1915	8	"""Rắp đem mệnh bạc xin nhờ cửa không."	㕸󰝂𠇮泊嗔洳𫔳空
1916	6	"""Thôi thì thôi cũng chiều lòng,"	催時催拱朝𢚸
1917	8	“Cũng cho CHO NGHỈ trong vòng bước ra.	拱朱朱𢪀冲妄𨀈𦋦
1918	6	"""Sẵn Quan âm các vườn ta,"	産󰞹音閣園些
1919	8	"""Có cây trăm thước có hoa bốn mùa."	󰡏核𤾓𡱩󰡏花𦊚務
1920	6	“Có CỔ thụ có SAN HÔ,	󰡏古樹󰡏山瑚
1921	8	“Cho nàng ra đó giữ chùa TỤNG kinh.”	朱娘𦋦妬𪧚厨誦经
1922	6	Tưng Tưng trời mới bình minh,	曾曾𡗶買平明
1923	8	Hương hoa ngũ cúng sắm sanh lễ thường.	香花五供懺生礼常
1924	6	MỐNG ĐƯA đến trước Phật đường,	󰡡迻旦畧𫢋堂
1925	8	Tam qui ngũ giới cho nàng xuất gia.	三皈五戒朱娘出家
1926	6	Áo xanh đổi lấy cà sa,	襖撑対𥙩袈裟
1927	8	Pháp danh lại đổi tên ra Trạc Tuyền.	法名吏対𠸜𦋦濯泉
1928	6	Sớm khuya tính đủ dầu đèn,	󰉺𣅘併覩油畑
1929	8	Xuân Thu cắt sẵn hai tên hương trà.	春秋割産𠄩𠸜香茶
1930	6	Nàng từ lánh DẤU vườn hoa,	娘自另𨁪園花
1931	8	Dường gần rừng tía dường xa bụi hồng.	󰟯𧵆棱紫󰟯賒𡏧紅
1932	6	Nhân duyên đâu lại còn mong?	因緣󰠲吏群蒙
1933	8	Khỏi điều thẹn phấn tủi hồng THÔI thôi .	塊調𢢆粉𢣃紅催催
1934	8	Phật tiền thảm LẤP sầu KHƠI ,	𫢋前惨垃愁洃
1935	8	Ngày pho thủ tự đêm nồi tâm hương.	𣈜鋪手字店㘨心香
1936	6	Cho hay giọt nước cành dương,	朱台湥渃梗楊
1937	8	Lửa lòng tưới tắt mọi đường trần duyên.	󰌎𢚸洒𤎕每塘塵緣
1938	6	SỒNG NÂU từ trở mầu thiền,	𣙩𣘽自阻牟禅
1939	8	Sân thu trăng đã vài PHEN đứng đầu.	𡑝秋𦝄㐌𠄽番𨅸頭
1940	6	Quan phòng then nhặt lưới mau,	𬮦房杄日䋥毛
1941	8	Nói lời trước mặt rơi châu vắng người.	呐𠳒畧󰘚淶珠永㝵
1942	6	Gác kinh viện SÁCH đôi nơi,	閣经院𠕋堆尼
1943	8	Trong gang tấc lại gấp MƯỜI quan san.	冲𡬼𡬷吏扱𨑮䦕山
1944	8	Những là NGÂM thở GIỘT than ,	仍󰑼唅咀𠸂嘆
1945	8	Tiểu thư phải buổi vấn an về nhà.	小姐沛𣇜问安󰡲茹
1946	6	Thừa cơ sinh mới lẻn ra,	乘机生買輦𦋦
1947	8	Xăm xăm đến mé vườn hoa với nàng.	侵侵旦𠃅園花貝娘
1948	6	SỤT SÙI KỂ nỗi đoạn trường,	湥淶計挼断膓
1949	8	Giọt châu tầm tã ƯỚT tràng áo xanh:	湥珠尋謝昌長襖撑
1950	6	RẰNG cam chịu bạc với tình,	浪甘𠹾泊貝情
1951	8	“Chúa ĐÔNG để tội một mình cho hoa!	主東底罪𠬠𠇮朱花
1952	6	"""Thấp cơ thua trí đàn bà,"	𥰊机輸智弹󰜏
1953	8	"""Trông vào đau ruột nói ra ngại lời."	𬂙𠓨𤴬𫆧呐𫥨𪿒𠳒
1954	6	“Vì ta CHO luỵ đến NGƯỜI,	爲些朱累旦㝵
1955	8	“Cát lầm ngọc trắng thiệt THÒI xuân xanh.	葛淋玉𤽸舌催春撑
1956	8	“Quản chi trên gác dưới DUỀNH ,	管之蓮閣󰡎溋
1957	8	"""Cũng toan sống thác với tình cho xong."	拱筭𤯩托貝情朱衝
1958	6	"""Tông đường chút chửa cam lòng,"	宗堂𡮍渚甘𢚸
1959	8	"""Cắn răng bẻ một chữ đồng làm hai."	哏󰛈𢯏𠬠𡦂同爫𠄩
1960	6	"""Thẹn mình đá nát vàng phai,"	𢢆𠇮𥒥󰞺鐄派
1961	8	"""Trăm thân dễ chuộc một lời được sao!"""	𤾓身易贖𠬠𠳒特牢
1962	6	"Nàng rằng: ""Chiếc bách sóng đào,"	娘浪隻栢㳥濤
1963	8	“ PHÙ TRẦM cũng mặc lúc nào rủi may.	浽沉拱默六芇𰦫埋
1964	6	"""Chút thân quằn quại vũng lầy,"	𡮍身𠹴𠶔淎淶
1965	8	"""Sống thừa còn tưởng đến rày nữa sao!"	𤯩乘群想旦𣈙女牢
1966	6	"""Cũng liều một giọt mưa rào,"	拱料𠬠湥湄𩆋
1967	8	"""Mà cho thiên hạ trông vào cũng hay!"	麻朱天下𬂙𠓨拱台
1968	6	“chút vì cầm đã BÁM dây,	𡮍爲琹㐌󰐻𦀊
1969	8	"""Chẳng trăm năm cũng một ngày duyên ta."	庄𤾓𢆥拱𠬠𣈜緣些
1970	6	"""Liệu mà ra cửa cho ra,"	料麻𦋦𫔳朱𦋦
1971	8	"""Ấy là tình nặng ấy là ân sâu."""	意󰑼情󰠱意󰑼恩溇
1972	6	"Sinh rằng: ""Riêng tưởng bấy lâu,"	生浪貞想闭𥹰
1973	8	“Lòng người nham hiểm biết đâu mà LƯỜNG .	𢚸㝵岩險別󰠲麻量
1974	6	"""Nữa khi giông tố phũ phàng,"	女欺𬲄膆負傍
1975	8	“ THIỆT riêng đấy cũng lại càng cực đây.	舌貞蒂拱吏強極低
1976	8	“Liệu mà CAO chạy XA bay ,	料麻高𧼋賒𠖤
1977	8	"""Ái ân ta có ngần này mà thôi."	爱恩些󰡏銀尼麻催
1978	6	"""Bây giờ kẻ ngược người xuôi,"	碑除几虐㝵吹
1979	8	"""Biết bao giờ lại nối lời nước non?"	別包除吏𫃸𠳒渃𡽫
1980	6	"""Dẫu rằng sông cạn đá mòn,"	酉浪滝𣴓𥒥󰍹
1981	8	“Con tằm đến CHẾT cũng còn KÉOo tơ.”	昆蚕旦𣩂拱群矫絲
1982	6	Cùng nhau kể lể sau xưa,	共饒計礼娄初
1983	8	"""Nói rồi lại nói lời chưa hết lời."	呐耒吏呐𠳒渚歇𠳒
1984	6	Mặt trông tay chẳng nỡ rời,	󰘚𬂙𢬣󰝸女淶
1985	8	Hoa tì đã động tiếng người nẻo xa.	花婢㐌動㗂㝵裊賒
1986	6	NHỊN NGỪNG NUỐT tủi đứng ra,	忍󰋈呐悴𨅸𦋦
1987	8	Tiểu thư đâu đã gót hoa bước vào.	小姐󰠲㐌𨃴花𨀈𠓨
1988	6	Cười cười nói nói ngọt ngào,	唭唭呐呐𠮾嗷
1989	8	"Hỏi: ""Chàng mới ở chốn nào lại chơi?"""	𠳨払買扵准芇吏󱉁
1990	6	Dối quanh sinh mới liệu lời:	対光生買料𠳒
1991	8	"""Tìm hoa quá bước xem người viết kinh""."	尋花過𨀈袩㝵曰經
1992	6	"Khen rằng: ""Bút pháp đã tinh,"	𠸦浪笔法㐌精
1993	8	“So vào với thiếp HƯƠNG đình nào thua!	𬧺𠓨貝帖香亭芇輸
1994	6	"""Tiếc thay lưu lạc giang hồ,"	惜台流落江湖
1995	8	"""Nghìn vàng thật cũng nên mua lấy tài."""	𠦳鐄实拱𢧚模𥙩才
1996	6	THIỀN trà RÓT nước hồng mai,	船茶𣹕渃紅梅
1997	8	Thong dong nối gót thư trai cùng về.	從容綏𨃴書齋拱󰡲
1998	6	Nàng càng e lệ ủ ê,	娘強𠲖戾塢𠲖
1999	8	Rỉ tai hỏi lại hoa tì trước sau.	𠯇𦖻𠳨吏花婢畧𡢐
2000	6	"Hoa rằng: ""Bà đến đã lâu,"	花浪󰜏旦㐌𥹰
2001	8	"""Dón chân đứng núp độ đâu nữa giờ."	𨂚蹎𨅸納度󰠲姅除
2002	6	"""Rành rành kẽ tóc chân tơ,"	停停技󰖥蹎絲
2003	8	"""Mấy lời nghe hết đã dư tỏ tường:"	󰋇𠳒𦖑歇㐌餘𤏣詳
2004	6	"""Bao nhiêu đoạn khổ tình thương."	包饒󰞂苦情傷
2005	8	“Nỗi ông vật vã nỗi NÀNG thở than.	弹󰜏羕意体欧𠬠㝵
2006	6	"""Ngăn tôi đứng lại một bên,"	垠碎𨅸吏𠬠边
2007	8	"""Chán tai rồi mới bước lên trên lầu."""	󰇏𦖻耒買𨀈𨖲𨕭楼
2008	6	Nghe thôi kinh hãi xiết đâu:	𦖑崔󰟹駭掣󰠲
2009	8	“Đàn bà DƯỜNG ấy thấy âu một người!	弹󰜏羕意体欧𠬠㝵
2010	6	"""Ấy mới gan ấy mới tài!"	意買肝意買才
2011	8	“ Nghĩ càng thêm NGHĨ sởn gai rụng rời.	𢪀強添𢪀産荄用移
2012	6	"""Người đâu sâu sắc nước đời,"	㝵󰠲溇色渃𠁀
2013	8	“Mà chàng Thúc THỦ ra người bó tay.	麻払束手𦋦㝵抪𢬣
2014	6	"""Thực tang bắt được dường này,"	实賍扒特󰟯尼
2015	8	“Máu ghen ai cũng CAU mày CẮN răng .	𧖱悭埃拱槔眉哏𬹸
2016	6	“Thế mà ÊM chẳng đãi đằng,	世麻㛪󰝸代滕
2017	8	"""Chào mời vui vẻ nói năng dịu dàng."	朝𠶆𢝙𨤔呐能妙楊
2018	6	"""Giận ru ra dạ thế thường,"	𫺶由𫥨胣世常
2019	8	"""Cười ru mới thực khôn lường hiểm sâu."	唭𠱋買实坤量險𫐷
2020	6	"""Thân ta ta phải lo âu,"	身些些沛𢗼歐
2021	8	"""Miệng hùm nọc rắn ở đâu chốn này."	𠰘𤞻毒𧋻扵󰠲准尼
2022	6	"""Ví chăng gieo cánh cao bay,"	󰂇庄招𦑃高𠖤
