verse_no	luc_bat	qn_verse	nom_text
115	6	"Kiều rằng: ""Những đấng tài hoa,"	翹浪仍等才花
116	8	"""Thác là thể phách còn là tinh anh."	托󰑼体魄群󰑼精𮎦
117	6	"""Dễ hay tình lại gặp tình."	易台情吏及情
118	8	"""Chờ xem ắt thấy hiển linh bây giờ!"""	徐𫀅乙体顕灵碑除
119	6	Một lời nói chửa KỊP thưa,	𠬠𠳒呐渚吸䜹
120	8	Phút đâu trận gió cuốn cờ đến ngay.	丿󰠲陣𩙌捲旗旦𣦍
121	6	Ào ào GIÓ LỐC rung cây,	泑泑𩙌祿拸核
122	8	Ở trong dường có hương bay ít nhiều.	扵𥪝󰟯固香𠖤𠃣堯
123	6	Đè chừng ngọn gió lần theo,	提澄𦰟𩙌吝蹺
124	8	VẾT giày từng bước in rêu rành rành.	𤵖𩌂曾𨀈印尞伶伶
125	6	Mặt nhìn ai nấy đều kinh,	󰘚𥚆埃乃調󰟹
126	8	"Nàng rằng: ""Này thực tinh thành chẳng xa."	娘浪尼实精誠󰝸賒
127	6	“Hữu tình ta lại BIẾT ta,	有情些吏別些
128	8	“ CHẲNG nề u hiển mới là chị em.”	󰝸泥󰁏顕買󰑼姉㛪
129	6	Đã lòng hiển hiện cho xem,	㐌𢚸顕現朱𫀅
130	8	Tạ lòng nàng lại nối thêm VÀ lời.	謝𢚸娘吏𨁡添𬏓𠳒
131	6	Lòng thơ lai láng bồi hồi,	𢚸䜹来朗徘徊
132	8	Gốc cây lại vạch một bài cổ thi.	㭲核吏拍𠬠排古詩
133	8	Dùng dằng DỞ ở DỞ về ,	𣳔孕𢷣於𢷣𧗱
134	8	Nhạc vàng đâu đã tiếng nghe gần gần.	樂鐄󰠲㐌㗂𦖑𧵆𧵆
135	6	Trông chừng thấy một văn nhân,	𬂙澄体𠬠文人
136	8	Lỏng buông tay khấu bước lần dặm băng.	弄𢭾𢬣叩𨀈吝埮氷
137	6	Đề huề lưng túi gió trăng,	提𢹂𦝄󰠞𩙌𦝄
138	8	Sau chân theo một vài thằng con con.	𨍦蹎蹺𠬠𠄽繩昆昆
139	6	Tuyết in sắc ngựa câu giòn,	雪印色馭󰙃𤶐
140	8	Cỏ pha MÙI áo nhuộm non da trời.	𦹵坡味襖染𡽫䏧𡗶
141	6	Nẻo xa mới RÕ mặt người,	裊賒買𤑟󰘚㝵
142	8	Khách đà xuống ngựa tới nơi tự tình.	客㐌𫴋馭細尼敘情
143	6	GIAI NHÂN lần bước dặm xanh,	佳人吝𨀈埮撑
144	8	Một vùng như thể cây quỳnh cành dao.	𠬠𡓄如体核瓊梗瑤
145	6	Chàng Vương quen mặt ra chào,	払玉捐󰘚𦋦嘲
146	8	Hai e MẶT mặt nép vào dưới hoa.	𠄩翹依󰘚納𠓨󰡎花
147	6	Nguyên người quanh quất đâu xa,	原𠊛觥橘󰠲車
148	8	Họ Kim tên Trọng vốn nhà trâm anh.	户金𠸜重本茹簪纓
149	6	Nền phú hậu bực tài danh,	𪤍富厚堛才名
150	8	Văn chương nết đất thông minh tính trời.	文章揑坦通明性𡗶
151	6	Thiên tư tài mạo tót vời,	天資才貌捽為
152	8	Vào trong thanh nhã ra ngoài hào hoa.	𠓨𥪝󰘩雅𦋦外豪󰡛
153	6	Chung quanh vẫn đất nước nhà,	冬觥刎坦渃茹
154	8	Với Vương Quan trước VẪN là đồng thân.	貝王󰞹畧刎󰑼同親
155	6	VẪN nghe thơm nức hương lân,	刎𦖑𦹳󱋨鄕隣
156	8	Một nền Đồng- tước khoá xuân hai Kiều.	𠬠𪤍銅雀鎖春𠄩娇
157	6	Nước non cách mấy buồng thêu,	渃𡽫隔󰋇󰟀絩
158	8	Những là trộm DẤU thầm yêu chốc mòng.	仍󰑼濫唒忱腰祝蒙
159	6	May thay giải cấu tương phùng,	枚台邂逅相逢
160	8	Gặp tuần đố lá thoả lòng tìm hoa.	及旬妬𦲿妥𢚸尋花
161	6	Bóng hồng NHÁC thấy nẻo xa,	䏾紅落体裊賒
162	8	Xuân HƯƠNG thu cúc mặn mà cả hai.	春香秋菊曼麻奇𠄩
163	6	Người quốc sắc kẻ thiên tài,	㝵国色几天才
164	8	Tình trong như đã mặt ngoài còn e.	情𥪝如㐌󰘚外群依
165	6	Chập chờn cơn tỉnh cơn mê,	执廛干醒干迷
166	8	Rốn ngồi chẳng tiện dứt về chỉn khôn.	󰟱𡎢󰝸便𢴑𧗱㐱坤
167	6	Bóng tà như giục cơn buồn,	䏾斜如󰖢干盆
168	8	Khách đà lên ngựa người còn NGHÉ theo.	客㐌𨖲馭㝵群𥊘蹺
169	6	Dưới CẦU DẢI NƯỚC trong veo,	󰡎梂帶渃𤄯󰌄
170	8	Bên cầu tơ liễu bóng chiều THA LA .	边梂絲柳䏾朝他𦋦
171	6	Kiều từ trở gót trướng hoa,	翹自𧿨𨃴帳花
172	8	Mặt trời LẶN NÚI chiêng đà thu không.	󰘚𡗶吝𡶀鉦㐌收空
173	6	Gương nga VẠNH VẠNH đầy song,	𦎛娥永永苔蔥
174	8	Vàng gieo ngấn nước cây lồng bóng sân.	廣招痕渃核篭䏾𡑝
175	6	Hải đường lã ngọn đông lân,	海棠扡𦰟東鄰
176	8	Giọt sương treo nặng cành xuân LA đà.	湥霜撩𥘀梗春󰑼陀
177	6	ĐĂM ĐĂM lặng ngắm bóng HOA,	󰝡󰝡朗𥋴䏾花
178	8	Rộn đường gần với nỗi xa bời bời:	吨唐𧵆貝挼賒排排
179	6	"""Người mà đến thế thì thôi,"	㝵麻旦󰟨時催
180	8	"""Đời phồn hoa cũng là đời bỏ đi!"	𠁀繁花拱󰑼𠁀補𠫾
181	6	"""Người đâu gặp gỡ làm chi,"	𠊛󰠲扱𫽻爫之
182	8	"Trăm năm biết có duyên gì hay không?"""	𤾓𠄼別固緣之咍空
183	6	NGỔN ngang trăm mối bên lòng,	衮昂𤾓䋦边𢚸
184	8	Nên câu tuyệt diệu ngụ trong tính tình.	𢧚勾絶妙寓𥪝性情
185	6	Chênh chênh bóng nguyệt xế mành,	征征䏾月熾萌
186	8	Tựa loan bên triện một mình thiu thiu.	𢭸鸾边篆𠬠𠇮燒燒
187	6	Thoắt đâu thấy một tiểu kiều,	率󰠲体𠬠小娇
188	8	Có chiều phong vận có chiều thanh tân.	固朝󰘩韻固朝清新
189	6	Sương in mặt tuyết pha thân,	霜印󰘚雪坡身
190	8	Sen vàng lãng đãng như gần như xa.	蓮鐄朗蕩如𧵆如賒
191	6	CHÀO mừng ĐON hỏi dò la:	嘲𢜏噋𠳨𠻀󰑼
192	8	“ NGUỒN ĐÀO lạc lối đâu mà đến đây?”	源桃落𫮇󰠲麻旦低
193	6	"Thưa rằng: ""Thanh khí xưa nay,"	䜹浪聲氣初󰅒
194	8	“Mới CÙNG nhau lúc ban ngày đã quên?	買拱饒󰡜班𣈜㐌涓
195	6	"""Hàn gia ở mé tây thiên,"	寒家扵𠃅西阡
196	8	"""Dưới dòng nước chảy bên trên có cầu."	󰡎𣳔渃沚边𨕭固桥
197	6	"""Mấy lòng hạ cố đến nhau,"	󰋇𢚸下顧旦饒
198	8	"""Mấy lời hạ tứ ném châu gieo vàng."	󰋇𠳒下賜捻珠招鐄
199	6	"""Vâng trình hội chủ xem tường,"	𠳐呈會主𫀅詳
200	8	"""Mà xem trong sổ Đoạn trường có tên."	麻𫀅𥪝𢼂断膓固𠸜
201	6	"""Âu đành quả kiếp nhân duyên,"	欧停果刼因綠
202	8	"""Cũng người một hội một thuyền đâu xa!"	共㝵𠬠會𠬠船󰠲車
203	6	"""Này mười bài mới mới ra,"	尼𨑮排買買𫥨
204	8	"""Câu thần lại mượn bút hoa vẽ vời."""	勾神吏慢笔花󰖽潙
205	6	Kiều vâng lĩnh ý đề bài,	翹𠳐領意題排
206	8	Tay tiên một VẪY đủ mười khúc ngâm.	𢬣仙𠬠󰖽𨇜𨑮曲吟
207	6	Xem thơ THẮC THỎM khen thầm:	袩䜹𭝫𭈿𠸦󰠐
208	8	Giá đành tú khẩu cẩm tâm khác thường!	價停繡口錦心恪常
209	6	Ví đem vào tập Đoạn trường.	󰂇󰝂𠓨集断膓
210	8	Thì treo GIẢI nhất chi nhường cho ai!	時撩帶一之讓朱埃
211	6	Thềm hoa khách đã trở hài,	㙴花客㐌𧿨鞋
212	8	Nàng còn CẦM lại một hai TỰ tình.	娘群扲吏𠬠𠄩斜情
213	6	Gió đâu sịch bức mành mành	𩙌󰠲鄭幅甍甍
214	8	Tỉnh ra mới biết là mình chiêm bao.	醒𦋦買別浪𠇮占包
215	6	Trông theo nào thấy đâu nào,	𬂙蹺芇体󰠲芇
216	8	Hương thừa NHƯỜNG hãy ra vào đâu đây.	香乘讓唉𦋦𠓨󰠲低
217	6	Một mình lưỡng lự canh chầy,	𠬠𠇮󰡝慮更迡
218	8	Đường xa nghĩ nỗi sau này mà kinh.	塘賒𢪀挼娄尼麻󰟹
219	6	Hoa trôi bèo dạt đã đành,	花㵢䕯󰟅㐌停
220	8	Biết ĐÂU mình biết phận mình thế thôi.	别󰠲𠇮别分𠇮󰟨傕
221	8	Nỗi riêng lớp lớp sóng DỒI ,	浽𥢆笠笠㳥𣼭
222	8	Nghĩ đòi cơn lại sụt sùi đòi cơn.	𢪀隊干吏湥涞隊干
223	6	Giọng Kiều rền rĩ trướng loan,	喠娇𡃚𠯇帳鵉
224	8	Nhà huyên chợt tỉnh hỏi cơn cớ gì.	茹萱秩醒𠳨干㨿之
225	6	“Cớ CHI trằn trọc canh khuya,	㨿之陳濁更𣅘
226	8	"""Màu hoa lê hãy dầm dề giọt mưa?"""	牟花󰣀唉滛提湥湄
227	6	"Thưa rằng: ""Chút phận ngây thơ,"	踈浪𡭧分𬏝踈
228	8	"""Dưỡng sinh đôi nợ tóc tơ chưa đền."	養生堆女󰖥絲渚填
229	6	NGÀY ngày chơi mả Đạm Tiên,	𣈜𣈜󱉁𡏢淡仙
230	8	"""Nhắp đi thoắt thấy ứng liền chiêm bao."	𥃱𠫾率体應連占包
231	6	"""Đoạn trường là số thế nào,"	断膓󰑼𢼂󰡫芇
232	8	"""Bài ra thế ấy vịnh vào thế kia."	排𦋦󰡫意咏𠓨󰡫箕
233	6	"""Cứ trong mộng triệu mà suy,"	㨿𥪝夢兆麻推
234	8	"""Phận con thôi có ra gì mai sau!"""	分昆傕固𦋦之枚娄
235	6	"Dạy rằng: ""Mộng triệu cứ đâu,"	𠰺浪夢兆據󰠲
236	8	"""Bỗng không mua não chuốc sầu nghĩ nao!"""	俸空謨󰞽聀愁𢪀芇
237	6	Vâng lời khuyên giải thấp cao.	𠳐𠳒勸觧湿高
238	8	Chưa xong điều nghĩ đã dào MẠCH Tương.	渚衝調󰀩㐌滛眜湘
239	6	Ngoài song thỏ thẻ oanh vàng,	外窻兎矢莺鐄
240	8	Nách tường bông liễu bước sang NGANG duềnh.	腋墻󱖮柳𨀈𨖅昂溋
241	8	Hiên tà gác bóng CHÊNH CHÊNH ,	軒斜擱䏾鉦鉦
242	8	HÃY riêng riêng trạnh tấc riêng một mình.	唉𥢆𥢆鄭𡬷貞𠬠𠇮
243	6	Cho hay là thói hữu tình,	朱台󰑼退有情
244	8	Đố ai DỨT mối tơ mành cho xong!	妬埃𢴑䋦絲萌朱衝
245	6	Chàng Kim từ lại thư song,	払金自吏書窻
246	8	Nỗi nàng cánh cánh bên lòng BIẾNG KHUÂY .	浽娘更更边𢚸更亏
247	6	Sầu đong càng KHẮC càng đầy,	愁冬強刻強苔
248	8	Ba thu GIỌN lại một ngày dài ghê!	𠀧秋論吏𠬠𣈜𨱽稽
249	6	Mây Tần khoá kín song the,	𫡮秦鎖謹窻𦂛
250	8	Bụi hồng LIỆU NẺO đi về chiêm bao.	𦹷紅料裊𠫾𧗱占包
251	6	Tuần trăng khuyết đĩa dầu hao,	旬𦝄鈌𥒦油滈
252	8	Mặt mơ tưởng mặt lòng ngao ngán lòng.	󰘚𢠩想󰘚𢚸嗷喭𢚸
253	6	BUỒNG văn hơi giá như đồng,	󰟀文唏這如銅
254	8	Trúc se NGÓN thỏ tơ chùng phím loan.	竹痴󰇽兎絲𣳔泛鸾
255	6	Mành Tương phất phất gió đàn,	甍相拂拂𩙋弹
256	8	Hương DÂY mùi nhớ trà khan giọng tình.	香𦀊味女茶乾喠情
257	6	Ví chăng duyên nợ ba sinh,	󰂇庄綠女𠀧生
258	8	Làm chi đem thói khuynh thành trêu ngươi?	爫之眈󰡬碩城撩𤽗
259	6	Bâng khuâng nhớ cảnh nhớ người,	氷傾𢖵景𢖵𠊛
260	8	Nhớ nơi kỳ ngộ vội dời chân đi.	女尼奇遇倍移蹎𠫾
261	6	Một DÒNG cỏ mọc xanh rì,	𠬠𣳔𦹵木撑荑
262	8	Nước ngâm trong vắt thấy gì nữa đâu!	渃吟𥪝勿体之女󰠲
263	6	Gió chiều như giục cơn sầu,	𩙋𣋂如逐干愁
264	8	VI lau hiu hắt như màu CỚI trêu.	葦𦰤囂乙如牟𢭮撩
265	6	Nghề riêng nhớ ít tưởng nhiều,	藝𫁅𢖵𠃣想𡗊
266	8	Xăm xăm đè nẻo Lam- kiều lần sang.	侵侵提裊篮橋吝𨖅
267	6	Thẳm nghiêm kín CỐNG cao tường,	審嚴謹槓高墙
268	8	Cạn dòng lá thắm dứt đường chim xanh.	𣴓𣳔𦲿審𢴑塘𫚳撑
269	6	Lơ thơ tơ liễu buông mành,	閭舒絲柳󱖮萌
270	8	Con oanh học nói trên cành mỉa mai.	昆莺斈呐𨕭梗𠸍枚
271	6	Mấy lần cửa đóng then cài,	󰋇吝󰠮埬杄掑
272	8	Dẫy thềm hoa rụng biết người ở đâu?	𣲆㙴花𠰩别㝵於󰠲
273	6	Tần ngần đứng suốt giờ lâu,	秦銀𨅸椊除𥹰
274	8	DIỄU quanh chợt thấy mé sau có nhà.	妙觥秩体𠃅娄固茹
275	6	Là nhà Ngô Việt thương gia,	󰑼茹吳越商家
276	8	Buồng không để đó người xa chưa về.	󰟀空底妬㝵賒渚米
277	6	Lấy điều du học hỏi thuê,	𥙩調遊斈𠳨税
278	8	Túi đàn cặp sách đề huề dọn sang.	襊弹扱册提𢹂扽𨖅
279	6	Có cây có đá sẵn sàng,	固核固𥒥産床
280	8	Có hiên Lãm thuý nét vàng chưa phai.	固軒𬄦翠󰞺鐄渚派
281	6	Mừng thầm chốn ấy chữ bài,	𢜠󰠐准意𡦂排
282	8	Ba sinh âu hẳn duyên trời chi đây!	𠀧生欧罕綠𡗶之低
283	6	Song hồ nửa khép cánh mây,	窻糊姅怯𦑃𫡮
284	8	Tường đông ghé mắt ngày ngày hằng trông.	墻東𥊘眜𣈜𣈜恒𬂙
285	6	Tấc gang động khoá nguồn phong,	𡬷𡬼銅鎖源封
286	8	TUYỆT mù nào thấy bóng hồng vào ra.	絶𩂟芇体䏾紅𠓨𦋦
287	6	Nhẫn từ quán CÁC lân la,	忍自舘阁隣󰑼
288	8	Tuần trăng thấm thoát nay đà TRÒN hai.	旬𦝄審卒𫢩它𧷺𠄩
289	6	Cách tường phải buổi IM trời,	隔墻沛𣇜淹𡗶
290	8	Dưới đào dường có bóng người thướt tha.	󰡎桃羕固䏾㝵切他
291	6	Buông cầm xốc áo vội ra,	𢭾琴促襖倍𦋦
292	8	Hương còn NGÁT SỰC người đà vắng tanh.	香群𠯪𠶗㝵它永醒
293	6	Lần theo TƯỜNG gấm dạo quanh,	吝蹺墝錦𨄹觥
294	8	Trên đào nhác thấy một cành kim thoa.	𨕭桃落体𠬠挭金釵
295	6	Giơ tay với lấy về nhà,	𫼰𢬣𢭲𥙩𧗱茹
296	8	"""Này trong khuê các đâu mà đến đây?"	尼𥪝闺阁󰠲麻旦低
297	6	"""gẫm âu người ấy, báu này,"	𡄎歐㝵意宝尼
298	8	"""Chẳng duyên chưa dễ vào tay ai cầm!"""	庄緣渚易𠓨𢬣埃扲
299	6	Liền tay ngắm nghía biếng nằm,	連𢬣𥋴𥊘𠴠𢆥
300	8	Hãy còn thoang thoảng hương THẦM chưa phai.	唉群倘倘香󰠐渚派
301	6	Tan sương đã thấy bóng người,	散霜㐌体䏾㝵
302	8	Quanh tường ra ý tìm tòi ngẩn ngơ.	觥墻𦋦意尋摧󰡢𩵜
303	6	Sinh đà có ý đợi chờ,	生它󰡏意待徐
304	8	Cách tường lên tiếng xa đưa ướm lòng:	隔墻蓮㗂賒迻厭𢚸
305	6	“Thoa ĐÂU bắt được hư không,	釵󰠲扒特虚空
306	8	"""Biết đâu Hợp- phố mà mong châu về?"""	別󰠲合浦麻蒙珠𧗱
307	6	Tiếng Kiều nghe lọt bên kia:	㗂娇𦖑律边箕
308	8	"""Ơn lòng quân tử sá gì của rơi."	恩𢚸君子詫之𧵑淶
309	6	“Chiếc thoa NÀO của mấy mươi,	隻釵芇𧵑󰋇𨑮
310	8	“Mà lòng TRƯỢNG nghĩa khinh tài xiết bao!”	麻𢚸仗󰒂輕財掣包
311	6	"Sinh rằng: ""Lân lý ra vào,"	生浪隣里𦋦𠓨
312	8	"""Gần đây nào phải người nào xa xôi."	𧵆低芇沛㝵芇賒吹
313	6	“Được rày nhờ chút HƠI rơi,	特𣈙侞𡭧唏淶
314	8	"""Kể đà thiểu não lòng người bấy nay!"	計它少󰞽𢚸㝵闭󰅒
315	6	"""Bấy lâu mới được một ngày,"	闭𥹰買特𠬠𣈜
316	8	Dừng chân GẠN chút niềm tây gọi là.”	亭蹎伴𡭧念西𨆝󰑼
317	6	Vội VÀO thêm lấy của nhà,	倍𠓨添𥙩𧵑茹
318	8	Xuyến vàng HAI chiếc khăn là một vuông.	釧鐄𠄩隻巾𬗢𠬠󰉓
319	6	VIN mây rón bước ngọn tường,	援𫡮𨂚𨀈𦰟墻
