yield_match,yield_confirmed,yield_unconfirmed,yield_del,yield_ins,anchors_tested,anchor_retention,ret_noise0,ret_drop,ret_drop_syl,ret_ins_syl,ret_swap_syl,ret_tone_syl,ret_subst_char,ret_drop_char,ret_split_char,config,p_band,p_adaptive,p_similar,p_nodict,p_delins,n_columns,seeds,is_baseline,round
16066,16066,0,8934,9110,629767,0.96344,0.99776,0.03432,0.99647,0.99659,0.94793,0.91022,0.90581,0.99639,0.99694,band2_sim0.45_nod1.00_di0.45,2,False,0.45,1.0,0.45,1200,3,False,a
24545,16060,8485,455,631,629767,0.96578,1.0,0.03422,0.99945,0.99919,0.94926,0.91233,0.90791,0.99908,0.9996,band2_sim0.45_nod1.00_di0.60,2,False,0.45,1.0,0.6,1200,3,False,a
24605,16032,8573,395,571,629767,0.96577,1.0,0.03423,0.99939,0.99926,0.94917,0.91236,0.9079,0.99912,0.99958,band2_sim0.45_nod1.00_di0.70,2,False,0.45,1.0,0.7,1200,3,False,a
24710,15935,8775,290,466,629767,0.96505,1.0,0.03495,0.99941,0.9992,0.94441,0.91237,0.9079,0.99903,0.99954,band2_sim0.45_nod1.00_di0.85,2,False,0.45,1.0,0.85,1200,3,False,a
24741,15904,8837,259,435,629767,0.95149,1.0,0.04851,0.99918,0.99902,0.85309,0.91222,0.9079,0.99881,0.9993,band2_sim0.45_nod1.00_di1.00,2,False,0.45,1.0,1.0,1200,3,False,a
16312,16064,248,8688,8864,629767,0.96368,0.99786,0.03417,0.99682,0.99678,0.94826,0.91044,0.90589,0.99668,0.99723,band2_sim0.60_nod0.80_di0.45,2,False,0.6,0.8,0.45,1200,3,False,a
24572,16046,8526,428,604,629767,0.96584,1.0,0.03416,0.99944,0.99928,0.94954,0.91235,0.90791,0.99918,0.99959,band2_sim0.60_nod0.80_di0.60,2,False,0.6,0.8,0.6,1200,3,False,a
24674,15964,8710,326,502,629767,0.96581,1.0,0.03419,0.99943,0.99932,0.94941,0.91236,0.9079,0.99906,0.99958,band2_sim0.60_nod0.80_di0.70,2,False,0.6,0.8,0.7,1200,3,False,a
24710,15935,8775,290,466,629767,0.96515,1.0,0.03485,0.99945,0.99929,0.94482,0.91237,0.9079,0.99913,0.9996,band2_sim0.60_nod0.80_di0.85,2,False,0.6,0.8,0.85,1200,3,False,a
24741,15904,8837,259,435,629767,0.95158,1.0,0.04842,0.99922,0.99908,0.85349,0.91222,0.9079,0.99884,0.99937,band2_sim0.60_nod0.80_di1.00,2,False,0.6,0.8,1.0,1200,3,False,a
16223,16064,159,8777,8953,629767,0.96364,0.99786,0.03422,0.99676,0.99675,0.94826,0.91036,0.90589,0.99661,0.99717,band2_sim0.60_nod0.90_di0.45,2,False,0.6,0.9,0.45,1200,3,False,a
24573,16046,8527,427,603,629767,0.96584,1.0,0.03416,0.99944,0.99928,0.94954,0.91235,0.90791,0.99918,0.99959,band2_sim0.60_nod0.90_di0.60,2,False,0.6,0.9,0.6,1200,3,False,a
24671,15966,8705,329,505,629767,0.96581,1.0,0.03419,0.99943,0.99931,0.94942,0.91236,0.9079,0.99908,0.99958,band2_sim0.60_nod0.90_di0.70,2,False,0.6,0.9,0.7,1200,3,False,a
24710,15935,8775,290,466,629767,0.96515,1.0,0.03485,0.99945,0.99929,0.94482,0.91237,0.9079,0.99913,0.9996,band2_sim0.60_nod0.90_di0.85,2,False,0.6,0.9,0.85,1200,3,False,a
24741,15904,8837,259,435,629767,0.95157,1.0,0.04843,0.99923,0.99908,0.85337,0.91222,0.9079,0.99884,0.99937,band2_sim0.60_nod0.90_di1.00,2,False,0.6,0.9,1.0,1200,3,False,a
16064,16064,0,8936,9112,629767,0.96363,0.99786,0.03423,0.99672,0.99675,0.94826,0.91032,0.90589,0.99659,0.99715,band2_sim0.60_nod1.00_di0.45,2,False,0.6,1.0,0.45,1200,3,False,a
24571,16047,8524,429,605,629767,0.96584,1.0,0.03416,0.99944,0.99928,0.94954,0.91233,0.90791,0.99918,0.99959,band2_sim0.60_nod1.00_di0.60,2,False,0.6,1.0,0.6,1200,3,False,a
24673,15964,8709,327,503,629767,0.96581,1.0,0.03419,0.99943,0.9993,0.94941,0.91236,0.9079,0.99906,0.99958,band2_sim0.60_nod1.00_di0.70,2,False,0.6,1.0,0.7,1200,3,False,a
24710,15935,8775,290,466,629767,0.96515,1.0,0.03485,0.99946,0.99929,0.94482,0.91237,0.9079,0.99913,0.9996,band2_sim0.60_nod1.00_di0.85,2,False,0.6,1.0,0.85,1200,3,False,a
24741,15904,8837,259,435,629767,0.95156,1.0,0.04844,0.99921,0.99908,0.85337,0.91222,0.9079,0.99884,0.99937,band2_sim0.60_nod1.00_di1.00,2,False,0.6,1.0,1.0,1200,3,False,a
24608,16032,8576,392,568,629767,0.9651,1.0,0.0349,0.99933,0.99915,0.94494,0.91235,0.90789,0.99906,0.99948,band3_sim0.30_nod0.90_di0.70,3,False,0.3,0.9,0.7,1200,3,False,a
24608,16032,8576,392,568,629767,0.9651,1.0,0.0349,0.99933,0.99915,0.94494,0.91235,0.90789,0.99906,0.99948,band4_sim0.30_nod0.90_di0.70,4,False,0.3,0.9,0.7,1200,3,False,a
24608,16032,8576,392,568,629767,0.9651,1.0,0.0349,0.99933,0.99915,0.94494,0.91235,0.90789,0.99906,0.99948,band2a_sim0.30_nod0.90_di0.70,2,True,0.3,0.9,0.7,1200,3,False,a
82251,53452,28799,1343,1706,3553291,0.96503,0.99991,0.03489,0.99933,0.99904,0.9447,0.91232,0.90777,0.99913,0.9994,band2_sim0.30_nod0.80_di0.70,2,False,0.3,0.8,0.7,4003,5,False,b
82249,53453,28796,1345,1708,3553291,0.96503,0.99991,0.03488,0.99934,0.99904,0.94471,0.91232,0.90777,0.99912,0.99942,band2_sim0.30_nod0.90_di0.70,2,False,0.3,0.9,0.7,4003,5,True,b
82242,53448,28794,1352,1715,3553291,0.96568,0.99991,0.03424,0.99937,0.99914,0.94885,0.91233,0.90779,0.99921,0.99944,band2_sim0.45_nod0.80_di0.70,2,False,0.45,0.8,0.7,4003,5,False,b
82427,53262,29165,1167,1530,3553291,0.96574,0.99994,0.0342,0.99941,0.99916,0.94909,0.91235,0.90781,0.99928,0.99946,band2_sim0.60_nod0.80_di0.70,2,False,0.6,0.8,0.7,4003,5,False,b
82560,53156,29404,1034,1397,3553291,0.9651,0.99994,0.03485,0.99947,0.99918,0.9446,0.91236,0.9078,0.99927,0.99951,band2_sim0.60_nod0.80_di0.85,2,False,0.6,0.8,0.85,4003,5,False,b
82422,53266,29156,1172,1535,3553291,0.96575,0.99994,0.03419,0.99943,0.99916,0.94911,0.91236,0.9078,0.99929,0.99949,band2_sim0.60_nod0.90_di0.70,2,False,0.6,0.9,0.7,4003,5,False,b
82559,53157,29402,1035,1398,3553291,0.96509,0.99994,0.03485,0.99946,0.99918,0.94461,0.91236,0.9078,0.99927,0.99948,band2_sim0.60_nod0.90_di0.85,2,False,0.6,0.9,0.85,4003,5,False,b
82424,53263,29161,1170,1533,3553291,0.96575,0.99994,0.03419,0.99941,0.99916,0.94912,0.91237,0.90781,0.99929,0.99946,band2_sim0.60_nod1.00_di0.70,2,False,0.6,1.0,0.7,4003,5,False,b
82559,53157,29402,1035,1398,3553291,0.96509,0.99994,0.03485,0.99946,0.99918,0.9446,0.91235,0.9078,0.99927,0.99948,band2_sim0.60_nod1.00_di0.85,2,False,0.6,1.0,0.85,4003,5,False,b
